URL: https://www.irs.gov/pub/irs-pdf/p1075.pdf
TITLE: Publication 1075 Tax Information Security Guidelines
ERROR: None

| Cadence / Timeline | Requirement text (quote or close paraphrase) | Likely control family / ID | Source section |
|---|---|---|---|
| Every 3 years | “Review and update the current access control policy every three (3) years (or if there is a significant change); and procedures every three (3) years (or if there is a significant change).” | AC-1 | 4.1 ACCESS CONTROL / AC-1 |
| Annually; semi-annually; within 24 hours; within 2 days | “Review accounts for compliance with account management requirements annually for user account and semi-annually for privileged accounts”; notify account managers and designated official within 24 hours when accounts no longer required / users terminated or transferred / need-to-know changes; “Automatically disable and remove temporary and emergency accounts after two (2) business days.” | AC-2, AC-2 CE-2, AC-2 CE-3 | 4.1 ACCESS CONTROL / AC-2 |
| Prior to release; controlled by approval | “Release information outside of the system only if … the receiving system … provides Publication 1075 required protections” and approved controls / FedRAMP ATO. | AC-3 CE-9 / CE-11 | 4.1 ACCESS CONTROL / AC-3 |
| Not specified | No specific cadence stated. | AC-4 | 4.1 ACCESS CONTROL / AC-4 |
| Not specified | No specific cadence stated. | AC-5 | 4.1 ACCESS CONTROL / AC-5 |
| Annually | “Review annually the privileges assigned to FTI to validate the need for such privileges.” | AC-6 CE-7 | 4.1 ACCESS CONTROL / AC-6 |
| 120 minutes; 15 minutes; 10 attempts | “Enforce a limit of three (3) consecutive invalid logon attempts by a user during a 120-minute period”; lock account for 15 minutes; “after ten (10) consecutive, unsuccessful device logon attempts” purge/wipe mobile device. | AC-7 / AC-7 CE-2 | 4.1 ACCESS CONTROL / AC-7 |
| Retain until acknowledged | Warning banner retained until users acknowledge usage conditions. | AC-8 | 4.1 ACCESS CONTROL / AC-8 |
| 15 minutes of inactivity | “Initiate a device lock after 15 minutes of inactivity.” | AC-11 | 4.1 ACCESS CONTROL / AC-11 |
| 30 minutes of inactivity | “Automatically terminate a user session after 30 minutes of inactivity.” | AC-12 | 4.1 ACCESS CONTROL / AC-12 |
| Not specified | No specific cadence stated. | AC-14 | 4.1 ACCESS CONTROL / AC-14 |
| Not specified | No specific cadence stated. | AC-17 | 4.1 ACCESS CONTROL / AC-17 |
| Not specified | No specific cadence stated. | AC-18 | 4.1 ACCESS CONTROL / AC-18 |
| Not specified | No specific cadence stated. | AC-19 | 4.1 ACCESS CONTROL / AC-19 |
| Not specified | No specific cadence stated. | AC-20 | 4.1 ACCESS CONTROL / AC-20 |
| Not specified | No specific cadence stated. | AC-21 | 4.1 ACCESS CONTROL / AC-21 |
| Quarterly | “Review the content on the publicly accessible system for nonpublic information at a minimum quarterly and remove such information, if discovered.” | AC-22 | 4.1 ACCESS CONTROL / AC-22 |
| Not specified | No specific cadence stated. | AC-23 | 4.1 ACCESS CONTROL / AC-23 |
| Annual update; initial and annual training | “Provide security and privacy literacy training… as part of initial training for new users and annually thereafter”; “Update literacy training and awareness content annually.” | AT-2 | 4.2 AWARENESS AND TRAINING / AT-2 |
| Quarterly | “At least once per quarter, agencies must distribute security and privacy awareness reminders/updates to all users.” | AT-2 / IRS-defined | 2.D.2.1 Disclosure Awareness Training; 4.2 AT-2 |
| Quarterly | “Conduct phishing email simulation exercises on at least a quarterly basis.” | AT-2 / IRS-defined | 4.2 AT-2 |
| Before access; annually thereafter | “Provide role-based security and privacy training … before authorizing access … and annually thereafter.” | AT-3 | 4.2 AWARENESS AND TRAINING / AT-3 |
| Annually | “Retain individual training records for a period of five (5) years” and “Provide feedback … on an annual basis.” (feedback is annual, records retained 5 years) | AT-4, AT-6 | 4.2 AWARENESS AND TRAINING / AT-4, AT-6 |
| Five years | “Retain individual training records for a period of five (5) years.” | AT-4 | 4.2 AWARENESS AND TRAINING / AT-4 |
| Weekly | “Review and analyze system audit records weekly for indications of inappropriate or unusual activity.” | AU-6 | 4.3 AUDIT AND ACCOUNTABILITY / AU-6 |
| Annually or when system changes | “Review and update the event types selected for logging annually or when there is a system change.” | AU-2 | 4.3 AUDIT AND ACCOUNTABILITY / AU-2 |
