URL: https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-34r1.pdf
TITLE: NIST 800-34, Rev 1 Contingency Planning Guide for Federal ...
ERROR: None

| Item | Extracted information |
|---|---|
| Document | NIST Special Publication 800-34 Rev. 1, Contingency Planning Guide for Federal Information Systems |
| Date | May 2010 |
| Scope relevant to operational runbook/SOP structure | Information system contingency planning process; information system contingency plan development; activation and notification phase; recovery phase; reconstitution phase; plan appendices; test, training, and exercise (TT&E); plan maintenance |
| Named plan phases | Activation and Notification Phase; Recovery Phase; Reconstitution Phase |
| Named plan components / structure | Supporting Information; Activation and Notification Phase; Recovery Phase; Reconstitution Phase; Appendices |
| Seven-step contingency planning process | 1. Develop the contingency planning policy statement. 2. Conduct the business impact analysis (BIA). 3. Identify preventive controls. 4. Create contingency strategies. 5. Develop an information system contingency plan. 6. Ensure plan testing, training, and exercises. 7. Ensure plan maintenance. |
| Claimed plan use | “user’s manual” for executing the strategy in the event of a disruption |
| Plan applicability | All federal information systems must have a contingency plan |
| Plan types listed | Business Continuity Plan (BCP); Continuity of Operations (COOP) Plan; Crisis Communications Plan; Critical Infrastructure Protection (CIP) Plan; Cyber Incident Response Plan; Disaster Recovery Plan (DRP); Information System Contingency Plan (ISCP); Occupant Emergency Plan (OEP) |

| Role / responsibility area | Extracted information |
|---|---|
| ISCP Coordinator | Typically a functional or resource manager within the organization; develops the strategy in cooperation with other functional and resource managers associated with the system or the mission/business processes supported by the system; typically manages development and execution of the contingency plan |
| Senior management | Must support a contingency program and be included in the process to develop the program policy |
| Designated authority | Has the authority to activate the contingency plan; only one individual should have this authority; a successor should be clearly identified to assume that responsibility if necessary |
| Plan development roles | Roles and responsibilities section presents the overall structure of contingency teams, including hierarchy and coordination mechanisms and requirements among the teams; teams and team members should be designated for specific response and recovery roles during contingency plan activation |
| Management team | Provides overall guidance following a major system disruption or emergency; responsible for activating the contingency plan and supervising the execution of contingency operations; facilitates communications among other teams and supervises information system contingency plan tests and exercises |
| Team leader | Directs overall team operations, acts as the team’s representative to management, and liaises with other team leaders; disseminates information to team members and approves any decisions that must be made within the team; should have a designated alternate |
| Senior management official | Such as the CIO; has ultimate authority to activate the plan and to make decisions regarding spending levels, acceptable risk, and interagency coordination; typically leads the management team |
| Outage Assessment Team | Representative title; notified after disruption for outage assessment |
| Team staffing guidance | Personnel should be chosen based on skills and knowledge; ideally, teams are staffed with personnel responsible for the same or similar functions under normal conditions; teams should be sufficient in size to remain viable if some members are unavailable to respond; alternate team members may be designated; personnel from another geographic area or contractors/vendors may be coordinated and trained as an alternate team |

| Recurring task / cadence | Extracted information |
|---|---|
| Policy review/update cadence | “reviewed annually and updated as necessary” in sample policy statement |
| Policy elements | Roles and responsibilities; scope as applies to common platform types and organization functions; resource requirements; training requirements; exercise and testing schedules; plan maintenance schedule; minimum frequency of backups and storage of backup media |
| BIA timing | Performed during the Initiation phase of the SDLC; may need to be conducted again during the Development/Acquisition phase as the system design evolves and components change |
| TT&E cadence | Conduct TT&E events periodically, following organizational or system changes, or the issuance of new TT&E guidance, or as otherwise needed |
| Training cadence | Training should be provided at least annually; personnel newly appointed to ISCP roles should receive training shortly thereafter |
| Plan maintenance cadence | Reviewed for accuracy and completeness at an organization-defined frequency or whenever significant changes occur to any element of the plan; plans for moderate- or high-impact systems should be reviewed more often |
| Backup cadence | Policies should specify the minimum frequency and scope of backups; frequent scheduled backups; full and incremental backups should be routinely conducted, stored offsite, rotated, and periodically validated |
| TT&E frequency by impact level | Low-impact systems: tabletop exercise at an organization-defined frequency is sufficient; Moderate-impact systems: functional exercise at an organization-defined frequency should be conducted; High-impact systems: full-scale functional exercise at an organization-defined frequency should be conducted |
| Appendix A sample low-impact test schedule | Tabletop facilitator due April 1; develop tabletop test plan May 1; invite participants May 10; conduct tabletop test May 31; finalize after action report and lessons learned June 10; update ISCP based on lessons learned June 30; approve and distribute updated version of ISCP July 15 |
| Appendix A sample moderate-impact test schedule | Identify functional test facilitator March 1; determine type and scope of functional test March 15; develop functional test plan April 1; invite participants May 10; conduct functional test May 31; finalize after action report and lessons learned June 10; update ISCP based on lessons learned June 30; approve and distribute updated version of ISCP July 15 |
| Appendix A sample high-impact test schedule | Identify failover test facilitator March 1; determine scope of failover test (include other systems?) March 15; develop failover test plan April 1; invite participants July 10; conduct functional test July 31; finalize after action report and lessons learned August 15; update ISCP based on lessons learned September 15; approve and distribute updated version of ISCP September 30 |

| Fields captured / required in plan | Extracted information |
|---|---|
| Supporting Information section | Background; Scope; Assumptions |
| Scope section fields | FIPS 199 impact level; associated RTOs; alternate site and data storage capabilities (as applicable) |
| Assumptions section | List of assumptions used in developing the ISCP; list of situations that are not applicable |
| Concept of Operations section | System description; overview of three phases; roles and responsibilities |
| System description fields | General description of the information system; information system architecture; location(s); other important technical considerations; input/output diagram; system architecture diagram including security devices; content can usually be taken from the System Security Plan |
| Roles and responsibilities section | Overall structure of contingency teams; hierarchy; coordination mechanisms and requirements among the teams; overview of team member roles and responsibilities in a contingency situation |
| Activation criteria | Extent of any damage to the system (physical, operational, or cost); criticality of the system to the organization’s mission; expected duration of the outage lasting longer than the RTO |
| Notification procedures | Methods used to notify recovery personnel during business and non business hours; initial notification sequence; primary and alternate contact methods; procedures if an individual cannot be contacted |
| Contact list fields | Team position; name; home contact; work contact; cell phone; email addresses; home addresses |
| Notification content may include | Nature of the outage or disruption; any known outage estimates; response and recovery details; where and when to convene for briefing or further response instructions; instructions to prepare for relocation for estimated time period; instructions to complete notifications using the call tree |
| Outage assessment fields | Cause of the outage or disruption; potential for additional disruptions or damage; status of physical infrastructure; inventory and functional status of system equipment; type of damage to system equipment or data; items to be replaced; estimated time to restore normal services |
| Sequence of recovery activities | Recover steps are to be written in stepwise, sequential format; recovery priorities identified in the BIA; system’s MTD; escalation steps; instructions to coordinate with other teams; shipment of data backup media from offsite storage; hardware; copies of the recovery plan; software programs; package/transport/purchase materials required to recover the system |
| Recovery procedures | Obtain authorization to access damaged facilities and/or geographic area; notify internal and external business partners; obtain necessary office supplies and work space; obtain and install necessary hardware components; obtain and load backup media; restore critical operating system and application software; restore system data to a known state; test system functionality including security controls; connect system to network or other external systems; operate alternate equipment successfully |
| Recovery escalation / notification | Define and describe events, thresholds, or other types of triggers necessary for additional action; additional notifications for more recovery staff; messages and status updates to leadership; notices for additional resources |
| Reconstitution validation steps | Concurrent Processing; Validation Data Testing; Validation Functionality Testing |
| Reconstitution deactivation activities | Notifications; Cleanup; Offsite Data Storage; Data Backup; Event Documentation |
| Event documentation artifacts | Recovery/reconstitution log or other documentation of reconstitution activities; activity logs; functionality and data testing results; lessons learned documentation; After Action Report |
| Plan appendices common list | Contact information for contingency planning team personnel; vendor contact information including offsite storage and alternate site POCs; BIA; detailed recovery procedures and checklists; detailed validation testing procedures and checklists; equipment and system requirements lists; alternate mission/business processing procedures; ISCP testing and maintenance procedures; system interconnections; vendor SLAs, reciprocal agreements with other organizations, and other vital records |
| Appendix A low-impact template headings | 1. Introduction; 1.1 Background; 1.2 Scope; 1.3 Assumptions; 2. Concept of Operations; 2.1 System Description; 2.2 Overview of Three Phases; 2.3 Roles and Responsibilities; 3. Activation and Notification; 3.1 Activation Criteria and Procedure; 3.2 Notification; 3.3 Outage Assessment; 4. Recovery; 4.1 Sequence of Recovery Activities; 4.2 Recovery Procedures; 4.3 Recovery Escalation Notices/Awareness; 5. Reconstitution; 5.1 Validation Data Testing; 5.2 Validation Functionality Testing; 5.3 Recovery Declaration; 5.4 Notification (users); 5.5 Cleanup; 5.6 Data Backup; 5.7 Event Documentation; 5.8 Deactivation |
