URL: https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-137.pdf
TITLE: NIST SP 800-137, Information Security Continuous Monitoring ...
ERROR: None

| Section | Extracted operational structure / recurring tasks / artifacts / roles / cadence / fields |
|---|---|
| Information Security Continuous Monitoring (ISCM) definition | - “maintaining ongoing awareness of information security, vulnerabilities, and threats to support organizational risk management decisions” |
| ISCM process steps | - Define an ISCM strategy<br>- Establish an ISCM program<br>- Implement an ISCM program<br>- Analyze data and Report findings<br>- Respond to findings<br>- Review and Update the ISCM strategy and program |
| Chapter 3 process description | - Define an ISCM strategy based on risk tolerance that maintains clear visibility into assets, awareness of vulnerabilities, up-to-date threat information, and mission/business impacts<br>- Establish an ISCM program determining metrics, status monitoring frequencies, control assessment frequencies, and an ISCM technical architecture<br>- Implement an ISCM program and collect the security-related information required for metrics, assessments, and reporting; automate collection, analysis, and reporting where possible<br>- Analyze the data collected and Report findings, determining the appropriate response; additional information may be collected to clarify or supplement monitoring data<br>- Respond to findings with technical, management, and operational mitigating activities or acceptance, transference/sharing, or avoidance/rejection<br>- Review and Update the monitoring program, adjusting the ISCM strategy and maturing measurement capabilities to increase visibility into assets and awareness of vulnerabilities, further enable data-driven control of the security of an organization’s information infrastructure, and increase organizational resilience |
| Tiers | - Tier 1 = organization<br>- Tier 2 = mission/business processes<br>- Tier 3 = information systems |
| Tier 1 focus | - High-level information security governance policy as it relates to risk to the organization as a whole, its core missions, and its business functions<br>- Criteria for ISCM defined by the organization’s risk management strategy, including how the organization plans to assess, respond to, and monitor risk, and oversight required to ensure the strategy is effective |
| Tier 2 focus | - Criteria for continuous monitoring defined by how core mission/business processes are prioritized with respect to the organization’s overall goals and objectives, the types of information needed to execute mission/business processes, and the organization-wide information security program strategy<br>- Controls in the Program Management (PM) family are an example of Tier 2 security controls |
| Tier 3 focus | - Ensuring all system-level security controls (technical, operational, and management controls) are implemented correctly, operate as intended, produce the desired outcome, and continue to be effective over time<br>- Assessing and monitoring hybrid and common controls implemented at the system level<br>- Security status reporting may include security alerts, security incidents, and identified threat activities |
| Primary ISCM governance roles | - Head of Agency<br>- Risk Executive (Function)<br>- Chief Information Officer (CIO)<br>- Senior Information Security Officer (SISO)<br>- Authorizing Official (AO)<br>- Information System Owner (ISO)/Information Owner/Steward<br>- Common Control Provider<br>- Information System Security Officer (ISSO)<br>- Security Control Assessor |
| Head of Agency role | - Likely to participate in the organization’s ISCM program within the context of the risk executive (function) |
