URL: https://www.cms.gov/regulations-and-guidance/guidance/manuals/downloads/117_systems_security.pdf
TITLE: Business Partners Systems Security Manual
ERROR: None

| Source section | Control family / likely control ID | Extracted cadence / timeline | Exact requirement quoted or closely paraphrased |
|---|---|---|---|
| Record of Changes | — | Effective: 02-28-25; Implementation: 08-18-25; Issued: 07-17-25; Rev. 15.1 | “(Rev. 15.1; Issued: 07-17-25; Effective: 02-28-25; Implementation: 08-18-25)” |
| 1 - Introduction | — | 90 days | “The contractor shall correct weaknesses, findings, gaps, or other deficiencies within 90 days of receipt of any final audit or evaluation report regardless of finding severity, unless otherwise authorized by CMS.” |
| 1 - Introduction | — | every 365 days | “The contractor shall review, update and approve all policies and procedures every 365 days and not every three years as stated in the MAC ARS.” |
| 1 - Introduction | AC | at least once every ninety (90) days | “The contractor shall review system accounts (as defined in ARS control AC-02), at least once every ninety (90) days.” |
| 1 - Introduction | AC | at least annually | “Any other accounts shall be reviewed at least annually.” |
| 2.1 - Key Personnel Roles | — | each year / annually | “The principal SSO shall earn a minimum of 40 hours in continuing professional education credits each year.” |
| 3 - IT Systems Security Program Management | — | no specific cadence stated | “Testing shall be performed to ensure that information security controls are operating as intended.” (No specific frequency stated in this section.) |
| 3.02 - Reporting Requirements / Table 3.1 | AU / CM / CA / CP / IR / AC / IA / CP | As necessary | “System Security Profile – Section 3.7 | As necessary” |
| 3.02 - Reporting Requirements / Table 3.1 | CA | One third of the controls shall be tested each year so all controls are tested during a 3-year period | “CMS Annual FISMA Assessment (FA) – Section 3.5.1 | One third of the controls shall be tested each year so all controls are tested during a 3-year period.” |
| 3.02 - Reporting Requirements / Table 3.1 | CA | every 365 days, or upon significant change | “The SSPP for each General Support System (GSS) and MA shall be reviewed, updated, and approved by management every 365 days, or upon significant change.” |
| 3.02 - Reporting Requirements / Table 3.1 | CA | every 365 days, or upon significant change | “The information security risk assessment for each GSS and MA shall be reviewed, updated, and approved by management every 365 days, or upon significant change.” |
| 3.02 - Reporting Requirements / Table 3.1 | CA | each federal FY | “Certification (CPIC) – Section 3.4 | Each federal FY” |
| 3.02 - Reporting Requirements / Table 3.1 | CP | every 365 days, or upon significant change; tested annually | “CPs shall be reviewed, updated, and approved by management every 365 days, or upon significant change. CPs shall be tested annually.” |
| 3.02 - Reporting Requirements / Table 3.1 | IR | As necessary | “Incident Reporting and Response – Section 3.6 | As necessary” |
| 3.02 - Reporting Requirements / Table 3.1 | CA | As necessary to acquire and maintain a CMS CIO-granted Authorization to Operate | “Authorization To Operate – Section 3.8 | As necessary to acquire and maintain a CMS CIO-granted Authorization to Operate.” |
| 3.1 - System Security and Privacy Plan (SSPP) | CA | every 365 days | “Business partners are required to update and re-certify the SSPP every 365 days unless there are changes that would necessitate a more frequent update.” |
| 3.1 - System Security and Privacy Plan (SSPP) | CA | within 365 days from the previous certification date | “SSPP shall be recertified within 365 days from the previous certification date.” |
| 3.1 - System Security and Privacy Plan (SSPP) | CA | prior to recertification; within the original certification timeframe | “The SSPP shall also be reviewed prior to recertification (within the original certification timeframe) to determine whether an update is required.” |
| 3.1 - System Security and Privacy Plan (SSPP) | CA | within 10 business days | “Within 10 business days of updating, developing or recertifying an SSPP, CFACTS must be updated.” |
| 3.2 - Information Security Risk Assessment (ISRA) | RA / CA | annual | “Business partners are required to perform an annual ISRA...” |
| 3.2 - Information Security Risk Assessment (ISRA) | RA / CA | within 365 days from the previous certification date | “ISRAs shall be updated and recertified within 365 days from the previous certification date.” |
| 3.2 - Information Security Risk Assessment (ISRA) | RA / CA | prior to recertification; within the original certification timeframe | “The ISRA shall also be reviewed prior to recertification (within the original certification timeframe) to determine whether an update is required.” |
| 3.2 - Information Security Risk Assessment (ISRA) | RA / CA | within 10 business days | “Within 10 business days of updating, developing or recertifying an ISRA, CFACTS must be updated.” |
| 3.2 - Information Security Risk Assessment (ISRA) | RA / CA | not more than 365 days earlier than the security and privacy plan certification date | “the ISRA used to support an SSPP cannot be dated more than 365 days earlier than the security and privacy plan certification date.” |
| 3.3 - IT Systems Contingency Plan (ITSCP) | CP | reviewed as part of a documented SDLC, whenever new systems are planned or upon significant change | “Reviewed as part of a documented System Development Life Cycle, whenever new systems are planned or upon significant change” |
| 3.3 - IT Systems Contingency Plan (ITSCP) | CP | when new safeguards are implemented | “Reviewed when new safeguards are implemented” |
| 3.3 - IT Systems Contingency Plan (ITSCP) | CP | within 365 days | “Reviewed and approved within 365 days to ensure accuracy” |
| 3.3 - IT Systems Contingency Plan (ITSCP) | CP | within 365 days; each individual Medicare contract type every 365 days | “Tested within 365 days. If backup facility testing is done by Medicare contract type... each individual Medicare contract type shall be tested every 365 days.” |
| 3.3 - IT Systems Contingency Plan (ITSCP) | CP | within 10 business days | “A newly approved IT Systems CP shall be updated in the CFACTS and submitted to CMS within 10 business days.” |
| 3.4 - Certification Package for Internal Controls (CPIC) | CA | initially and then by annual reassessments | “Certification is the formal process by which a contractor official verifies, initially and then by annual reassessments...” |
| 3.4 - Certification Package for Internal Controls (CPIC) | CA | each federal Fiscal Year (FY); no later than September 30 | “Each contractor is required to self-certify to CMS its information security compliance within each federal Fiscal Year (FY)... CMS shall continue to require annual, formal re-certifications within each FY no later than September 30...” |
| 3.5.1 - Annual FISMA Assessment (FA) | CA | at least 1/3 of controls each year; all controls over a 3-year period | “At least 1/3 of controls must be tested each year, and all controls shall be tested over a 3-year period.” |
| 3.5.1 - Annual FISMA Assessment (FA) | CA | annually | “Business Owners... annually test their internal controls” |
| 3.5.1 - Annual FISMA Assessment (FA) | CA | within 365 calendar days of the prior test | “The annual FA testing requirement has been interpreted by OMB as being within 365 calendar days of the prior test.” |
| 3.5.1 - Annual FISMA Assessment (FA) | CA | 3-year rotation; repeated until notification from CMS | “a 3-year rotation of MAC ARS control families was established by CMS. After the 3-year rotation is completed, the testing rotation shall be repeated until notification from CMS is received.” |
| 3.5.1 - Annual FISMA Assessment (FA) | CA | within 365 days of the attestation due date | “All management-directed and independent testing conducted within 365 days of the attestation due date may be used to meet the requirement...” |
| 3.5.2 - Plan of Action and Milestones (POA&M) | CA | monthly; due by the 1st of each month | “Business partners are required to prepare a monthly POA&M update which is due by the 1st of each month.” |
| 3.5.2.1 - Background | CA | annual | “FISMA requires that federal agencies provide annual reporting...” |
