URL: https://www.fedramp.gov/resources/templates/SSP-Appendix-A-High-FedRAMP-Security-Controls.docx
TITLE: [DOC] SSP-Appendix-A-High-FedRAMP-Security-Controls.docx
ERROR: None

| Control ID | Documented concrete cadence / timeline / retention period | Exact quoted text |
|---|---:|---|
| AC-2 | Account review: monthly for privileged access; every six (6) months for non-privileged access | `Review accounts for compliance with account management requirements [FedRAMP Assignment: monthly for privileged accessed, every six (6) months for non-privileged access]` |
| AC-2(h)(1) | 24 hours | `within: 1. [FedRAMP Assignment: twenty-four (24) hours] when accounts are no longer required;` |
| AC-2(h)(2) | 8 hours | `2. [FedRAMP Assignment: eight (8) hours] when users are terminated or transferred;` |
| AC-2(h)(3) | 8 hours | `3. [FedRAMP Assignment: eight (8) hours] when system usage or need-to-know changes for an individual;` |
| AC-2(2) | Temporary and emergency accounts: no more than twenty-four (24) hours from last use | `Automatically [FedRAMP Assignment: disables] temporary and emergency accounts after [FedRAMP Assignment: no more than twenty-four (24) hours from last use].` |
| AC-2(3) | Disable user accounts within twenty-four (24) hours; inactive for thirty-five (35) days | `Disable accounts within [FedRAMP Assignment: twenty-four (24) hours for user accounts]` and `have been inactive for [FedRAMP Assignment: thirty-five (35) days (See additional requirements and guidance.)].` |
| AC-2(5) | Inactivity logout after fifteen (15) minutes | `Require that users log out when [FedRAMP Assignment: inactivity is anticipated to exceed fifteen (15) minutes].` |
| AC-6(7) | At a minimum, annually | `Review [FedRAMP Assignment: at a minimum, annually] the privileges assigned to [FedRAMP Assignment: all users with privileges]` |
| AU-2(e) | Annually and whenever there is a change in the threat environment | `Review and update the event types selected for logging [FedRAMP Assignment: annually and whenever there is a change in the threat environment].` |
| AU-4 | No concrete cadence/timeline in the control text; retention requirement is organization-defined | `Allocate audit log storage capacity to accommodate [Assignment: organization-defined audit log retention requirements].` |
| AU-5(a) | Within organization-defined time period | `Alert [Assignment: organization-defined personnel or roles] within [Assignment: organization-defined time period] in the event of an audit logging process failure;` |
| AU-5(1) | Within organization-defined time period; warning at 75% or one month before expected negative impact | `Provide a warning to [Assignment: organization-defined personnel, roles, and/or locations] within [Assignment: organization-defined time period] when allocated audit log storage volume reaches [FedRAMP Assignment: 75%, or one month before expected negative impact] of repository maximum audit log storage capacity.` |
| AU-5(2) | Real-time | `Provide an alert within [FedRAMP Assignment: real-time]` |
| AU-6 | At least weekly | `Review and analyze system audit records [FedRAMP Assignment: at least weekly]` |
| AU-8(b) | One second granularity | `Record time stamps for audit records that meet [FedRAMP Assignment: one second granularity of time measurement]` |
| AU-9(2) | At least weekly | `Store audit records [FedRAMP Assignment: at least weekly] in a repository that is part of a physically different system or system component than the system or component being audited.` |
| AU-11 | Online for at least ninety (90) days; offline in accordance with NARA requirements | `The service provider retains audit records online for at least ninety (90) days and further preserves audit records off-line for a period that is in accordance with NARA requirements.` |
| AU-12(3) | Time thresholds are organization-defined | `change the logging to be performed on [FedRAMP Assignment: all network, data storage, and computing devices] based on [Assignment: organization-defined selectable event criteria] within [Assignment: organization-defined time thresholds].` |
| CA-2(d) | At least annually | `Assess the controls in the system and its environment of operation [FedRAMP Assignment: at least annually]` |
| CA-5(b) | At least monthly | `Update existing plan of action and milestones [FedRAMP Assignment: at least monthly]` |
| CA-6(e) | In accordance with OMB A-130 requirements or when a significant change occurs | `Update the authorizations [FedRAMP Assignment: in accordance with OMB A-130 requirements or when a significant change occurs].` |
| CA-7 | Operating System, Database, Web Application, Container, and Service Configuration Scans at least monthly; all scans by Independent Assessor at least annually | `Operating System, Database, Web Application, Container, and Service Configuration Scans, at least monthly. All scans performed by Independent Assessor, at least annually.` |
| CA-8 | At least annually | `Conduct penetration testing [FedRAMP Assignment: at least annually]` |
| CA-9(d) | At least annually | `Review [FedRAMP Assignment: at least annually] the continued need for each internal connection.` |
| CM-2(b)(1) | At least annually and when a significant change occurs | `Review and update the baseline configuration of the system: 1. [FedRAMP Assignment: at least annually and when a significant change occurs];` |
| CM-2(b)(2) | When required due to direction from JAB | `2. When required due to [FedRAMP Assignment: to include when directed by the JAB];` |
| CM-2(3) | Number of previous versions is organization-defined | `Retain [FedRAMP Assignment: organization-defined number of previous versions of baseline configurations of the previously approved baseline configuration of IS components] of previous versions of baseline configurations of the system to support rollback.` |
| CM-3(e) | Organization-defined time period | `Retain records of configuration-controlled changes to the system for [Assignment: organization-defined time period];` |
| CM-3(g) | Organization-defined frequency or when organization-defined configuration change conditions occur | `convenes [Selection (one-or-more): organization-defined frequency; when [Assignment: organization-defined configuration change conditions]]` |
| CM-3(1)(c) | Organization agreed upon time period | `Highlight proposed changes to the system that have not been approved or disapproved within [FedRAMP Assignment: organization agreed upon time period];` |
| CM-5(5)(b) | At least quarterly | `Review and reevaluate privileges [FedRAMP Assignment: at least quarterly].` |
| CM-7(1)(a) | At least annually | `Review the system [FedRAMP Assignment: at least annually] to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services;` |
| CM-7(5)(c) | At least quarterly or when there is a change | `Review and update the list of authorized software programs [FedRAMP Assignment: at least quarterly or when there is a change].` |
| CM-8(b) | At least monthly | `Review and update the system component inventory [FedRAMP Assignment: at least monthly].` |
| CM-11(c) | Continuously (via CM-7(5)) | `Monitor policy compliance [FedRAMP Assignment: Continuously (via CM-7(5))].` |
| CP-2(d) | At least annually | `Review the contingency plan for the system [FedRAMP Assignment: at least annually];` |
| CP-2(3) | Time period defined in service provider and organization SLA | `Plan for the resumption of [FedRAMP Assignment: all] mission and business functions within [FedRAMP Assignment: time period defined in service provider and organization SLA] of contingency plan activation.` |
| CP-3(a)(1) | Within *See Additional Requirements*; additional guidance: privileged admins and engineers within 10 days; newly hired critical contingency personnel within 60 days of hire date | `Within [FedRAMP Assignment: *See Additional Requirements] of assuming a contingency role or responsibility;` and `Privileged admins and engineers must take the basic contingency training within 10 days.` and `Newly hired critical contingency personnel must take this more in-depth training within 60 days of hire date when the training will have more impact.` |
| CP-3(a)(3) | At least annually | `3. [FedRAMP Assignment: at least annually] thereafter;` |
| CP-3(b) | At least annually | `Review and update contingency training content [FedRAMP Assignment: at least annually]` |
| CP-4(a) | At least annually | `Test the contingency plan for the system [FedRAMP Assignment: at least annually]` |
| CP-6 | No concrete cadence/timeline in control text | No explicit frequency stated. |
| CP-7(a) | Time period consistent with recovery time objectives and business impact analysis | `within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives]` and `The service provider defines a time period consistent with the recovery time objectives and business impact analysis.` |
| CP-8 | Time period consistent with recovery time objectives and business impact analysis | `within [Assignment: organization-defined time period] when the primary telecommunications capabilities are unavailable` and `The service provider defines a time period consistent with the recovery time objectives and business impact analysis.` |
| CP-8(4)(c) | Annually | `Obtain evidence of contingency testing and training by providers [FedRAMP Assignment: annually].` |
| CP-9(a) | Daily incremental; weekly full | `Conduct backups of user-level information contained in [Assignment: organization-defined system components]; [FedRAMP Assignment: daily incremental; weekly full]` |
| CP-9(b) | Daily incremental; weekly full | `Conduct backups of system-level information contained in the system [FedRAMP Assignment: daily incremental; weekly full];` |
| CP-9(c) | Daily incremental; weekly full | `Conduct backups of system documentation, including security- and privacy-related documentation [FedRAMP Assignment: daily incremental; weekly full];` |
| CP-9(1) | At least monthly | `Test backup information [FedRAMP Assignment: at least monthly] to verify media reliability and information integrity.` |
| CP-9(5) | Time period and transfer rate consistent with recovery time and recovery point objectives defined in service provider and organization SLA | `Transfer system backup information to the alternate storage site [FedRAMP Assignment: time period and transfer rate consistent with the recovery time and recovery point objectives defined in the service provider and organization SLA.]` |
| CP-10 | Time period consistent with recovery time and recovery point objectives | `within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives] after a disruption, compromise, or failure.` |
| CP-10(4) | Time period consistent with restoration time-periods defined in service provider and organization SLA | `within [FedRAMP Assignment: time period consistent with the restoration time-periods defined in the service provider and organization SLA]` |
| IA-4(d) | At least two (2) years | `Preventing reuse of identifiers for [FedRAMP Assignment: at least two (2) years].` |
| IA-5(f) | Organization-defined time period by authenticator type or when organization-defined events occur | `Changing or refreshing authenticators [Assignment: organization-defined time period by authenticator type] or when [Assignment: organization-defined events] occur;` |
| IA-5(1)(a) | Organization-defined frequency; and when organizational passwords are suspected to have been compromised | `Maintain a list of commonly-used, expected, or compromised passwords and update the list [Assignment: organization-defined frequency] and when organizational passwords are suspected to have been compromised directly or indirectly;` |
| IA-5(1)(h) | 14 characters minimum for cases where technology doesn't allow MFA; emergency use accounts: 14 characters and must support all printable ASCII characters; password changed if used | `must have a minimum length of 14 characters and must support all printable ASCII characters.` / `For emergency use accounts, these rules should be enforced: must have a minimum length of 14 characters, must support all printable ASCII characters, and passwords must be changed if used.` |
| IA-8(2) | No cadence/timeline stated | `Document and maintain a list of accepted external authenticators.` |
| IA-11 | Fixed time period cannot exceed SP 800-63 limits; at this time AAL3 is 12 hours or 15 minutes of inactivity | `The fixed time period cannot exceed the limits set in SP 800-63. At this time they are: - AAL3 (high baseline) - Twelve (12) hours or - Fifteen (15) minutes of inactivity.` |
| IR-2(a)(1) | 10 days for privileged users; 30 days for Incident Response roles | `Within [FedRAMP Assignment: ten (10) days for privileged users, thirty (30) days for Incident Response roles]` |
| IR-2(a)(3) | At least annually | `3. [FedRAMP Assignment: at least annually] thereafter;` |
| IR-2(b) | At least annually | `Review and update incident response training content [FedRAMP Assignment: at least annually]` |
| IR-3 | At least every six (6) months, including functional at least annually | `Test the effectiveness of the incident response capability for the system [FedRAMP Assignment: at least every six (6) months, including functional at least annually]` |
| IR-3 requirement | Functional testing prior to initial authorization; annual functional testing; test plans annually | `Functional testing must occur prior to testing for initial authorization. Annual functional testing may be concurrent with required penetration tests (see CA-8). The service provider provides test plans to the JAB/AO annually.` |
