URL: https://sre.google/sre-book/introduction/
TITLE: Google SRE - IT Service Management: Automate Operations
ERROR: None

| Topic | Extracted information |
|---|---|
| Operational runbook / SOP structure | - Google SRE relies on on-call playbooks.<br>- Thinking through and recording the best practices ahead of time in a “playbook” produces roughly a 3x improvement in MTTR as compared to the strategy of “winging it.”<br>- Clear and thorough troubleshooting steps and tips are valuable when responding to a high-stakes or time-sensitive page.<br>- Google SRE also uses exercises such as the “Wheel of Misfortune” to prepare engineers to react to on-call events. |
| Recurring security/compliance task execution | - No explicit security or compliance task execution details are stated. |
| Audit evidence / artifacts | - Postmortems should be written for all significant incidents, regardless of whether or not they paged.<br>- Postmortems that did not trigger a page are even more valuable, as they likely point to clear monitoring gaps.<br>- The investigation should establish what happened in detail, find all root causes of the event, and assign actions to correct the problem or improve how it is addressed next time.<br>- Logs are recorded for diagnostic or forensic purposes.<br>- No one needs to look at logs unless something else prompts them to do so. |
| POA&M / remediation records | - Postmortems should assign actions to correct the problem or improve how it is addressed next time.<br>- No explicit POA&M record template or named remediation register is stated. |
| RACI / role responsibilities | - SRE teams are responsible for the availability, latency, performance, efficiency, change management, monitoring, emergency response, and capacity planning of their services.<br>- SRE teams interact with the production environment, product development teams, testing teams, users, and so on.<br>- Google places a 50% cap on the aggregate “ops” work for all SREs: tickets, on-call, manual tasks, etc.<br>- SREs spend the remaining 50% of time on development work.<br>- Operational work can be redirected to product development teams by reassigning bugs and tickets to development managers, [re]integrating developers into on-call pager rotations, and so on.<br>- The SRE team must be in charge of capacity planning, which means they also must be in charge of provisioning.<br>- SREs and product developers monitor and modify a service to improve performance, adding capacity and improving efficiency. |
| Task / ticket / playbook templates | - Playbook (no explicit template headings stated).<br>- Postmortem (no explicit template headings stated).<br>- Monitoring output categories: Alerts, Tickets, Logging. |
| Escalation / exception handling | - Alerts signify that a human needs to take action immediately in response to something that is either happening or about to happen, in order to improve the situation.<br>- Tickets signify that a human needs to take action, but not immediately; if a human takes action in a few days, no damage will result.<br>- SREs may redirect excess operational work to the product development teams.<br>- Reassigning bugs and tickets to development managers, [re]integrating developers into on-call pager rotations, and so on.<br>- If more than two events occur regularly per on-call shift, problems can’t be investigated thoroughly and engineers are sufficiently overwhelmed to prevent them from learning from these events.<br>- If on-call SREs consistently receive fewer than one event per shift, keeping them on point is a waste of their time.<br>- Once an error budget is depleted, one example response is to stop releases for the remainder of the quarter; this might not be embraced by a product development team unless mandated by management. |
| Cadence / frequencies / thresholds | - Google caps operational work for SREs at 50% of their time.<br>- Google’s rule of thumb is that an SRE team must spend the remaining 50% of its time actually doing development.<br>- On average, SREs focused on operations work should receive a maximum of two events per 8–12-hour on-call shift.<br>- Postmortems should be written for all significant incidents.<br>- Roughly 70% of outages are due to changes in a live system.<br>- Capacity planning should include regular load testing of the system.<br>- Load shifting is often done multiple times per hour.<br>- 50–60% of SREs are Google Software Engineers.<br>- 40–50% of SREs are candidates very close to Google Software Engineering qualifications, with 85–99% of the skill set required, plus rare technical skills useful to SRE. |
| Fields captured / named values | - Availability, latency, performance, efficiency, change management, monitoring, emergency response, capacity planning.<br>- Root causes of the event.<br>- Actions to correct the problem or improve how it is addressed next time.<br>- Alert / Ticket / Logging.<br>- Mean time to failure (MTTF).<br>- Mean time to repair (MTTR).<br>- Error budget = one minus the availability target.<br>- A service that’s 99.99% available is 0.01% unavailable.<br>- Capacity planning inputs: organic growth and inorganic growth.<br>- Mandatory capacity planning steps: accurate organic demand forecast extending beyond lead time required for acquiring capacity; accurate incorporation of inorganic demand sources into the demand forecast; regular load testing to correlate raw capacity (servers, disks, and so on) to service capacity. |
| Tables / phase structure | - No explicit operational phase table is stated.<br>- The page uses section headings: Introduction; The Sysadmin Approach to Service Management; Google’s Approach to Service Management: Site Reliability Engineering; Tenets of SRE; Ensuring a Durable Focus on Engineering; Pursuing Maximum Change Velocity Without Violating a Service’s SLO; Monitoring; Emergency Response; Change Management; Demand Forecasting and Capacity Planning; Provisioning; Efficiency and Performance; The End of the Beginning. |
| Severity / SLA / availability values | - 100% is not the right reliability target for basically everything, with pacemakers and anti-lock brakes being notable exceptions.<br>- 99.999% availability is contrasted with 100% availability; the marginal difference is described as not benefiting the user in most cases.<br>- A service that’s 99.99% available is 0.01% unavailable.<br>- Error budget is one minus the availability target.<br>- The decision to stop releases for the remainder of the quarter once an error budget is depleted is mentioned as an example. |

- No explicit named security/compliance audit schedule, exception approval workflow, RACI matrix, ticket template headings, or POA&M form fields are stated on the page.
