URL: https://www.dcsa.mil/Portals/91/Documents/CTP/special/DoD_SAP_PM_Handbook_JSIG_RMF_2015Aug11.pdf
TITLE: Program Manager's Handbook JSIG-RMF
ERROR: None

### Handbook structure relevant to operational runbook/SOP, recurring execution, evidence, POA&M/remediation, roles, templates, escalation, cadence, and fields captured

| Section / Phase | Explicitly stated operational content |
|---|---|
| **1.1 Purpose and Scope** | - High-level process overview<br>- Relationship between SDLC and RMF<br>- Roles and responsibilities<br>- Information on the steps in the RMF process<br>- Key deliverables |
| **1.3 Handbook Maintenance** | - The DoD Joint SAP Cybersecurity (JSCS) Working Group (WG) will review and evaluate this PM Handbook annually and update as appropriate. |
| **3 RMF PROCESS** | - Six (6) Steps of the RMF are described<br>- Security authorization artifacts used by the Authorizing Official (AO) to make an informed risk-based decision whether to grant an ATO |
| **RMF Step 1—Categorize Information System (IS)** | - Purpose: Categorize an IS by first categorizing the information on the system according to the potential impact of a loss of Confidentiality, Integrity, and Availability (C-I-A)<br>- SDLC Phase: Initiation |
| **RMF Step 2—Select Security Controls** | - Purpose: Select security controls using appropriate baseline and overlay(s), then tailor as required to prevent security breaches of an IS<br>- SDLC Phase: Initiation |
| **RMF Step 3—Implement Security Controls** | - Purpose: Security controls are implemented on the information system<br>- SDLC Phase: Development/Acquisition, Implementation |
| **RMF Step 4—Assess Security Controls** | - Purpose: Determine the extent to which the security controls are implemented correctly, operating as intended, and producing the desired outcome in meeting security requirements<br>- SDLC Phase: Development/Acquisition; Implementation |
| **RMF Step 5—Authorize Information System** | - Purpose: Identify weaknesses or deficiencies to be corrected and any residual vulnerabilities and submit a security authorization package to the AO (via the SCA) for adjudication<br>- SDLC Phase: Implementation |
| **RMF Step 6—Monitor Security Controls** | - Purpose: Assess and track the security state of an information system and its operational environment<br>- SDLC Phase: Operational/Maintenance/Disposal |

### Roles and responsibilities

| Role | Explicit responsibilities / statements |
|---|---|
