URL: https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/851001p.pdf
TITLE: DoDI 8510.01, "Risk Management Framework for DoD ...
ERROR: None

| Topic | Extracted information |
|---|---|
| Document purpose / scope | - Establishes the cybersecurity Risk Management Framework (RMF) for DoD Systems (“the RMF”) and establishes policy, assigns responsibilities, and prescribes procedures for executing and maintaining the RMF.<br>- Establishes and applies an integrated enterprise-wide decision structure for the RMF that includes and integrates DoD mission areas (MAs) pursuant to DoDD 8115.01 and the governance process prescribed in this issuance.<br>- Provides guidance on reciprocity of system authorization decisions for the DoD in coordination with other Federal agencies.<br>- Authorizes and designates the RMF Technical Advisory Group (TAG) as the body responsible for developing and publishing RMF implementation guidance. |
| Applicability | - Applies to OSD, the Military Departments (including the Coast Guard at all times, including when it is a Service in the Department of Homeland Security by agreement with that Department), the Office of the Chairman of the Joint Chiefs of Staff and the Joint Staff, the Combatant Commands, the Office of Inspector General of the Department of Defense, the Defense Agencies, the DoD Field Activities, and all other organizational entities within the DoD (“DoD Components”). |
| Policy | - The RMF process will inform acquisition processes for all DoD systems, including requirements development, procurement, developmental test and evaluation (DT&E), operational test and evaluation (OT&E), and sustainment; but will not replace these processes.<br>- NIST publications will be the authoritative guidelines for the DoD RMF.<br>- DoD RMF must meet FISMA and Section 11331 of Title 40, United States Code.<br>- Cybersecurity requirements and cyberspace operational risk management functions will be established and applied to all programs, systems, and technologies in DoD, regardless of the acquisition or procurement method (“systems”).<br>- Accountability for cybersecurity risk accepted within DoD must be enforced at all levels within the OSD or DoD Component in question (e.g., executive program officers, program managers (PMs), authorizing officials (AOs), and cyberspace and functional operational commanders) and throughout the lifecycle of its systems.<br>- The DoD Information Enterprise will use cybersecurity reciprocity to reduce redundant testing, assessing, documenting, and associated costs in time and resources.<br>- RMF system authorization information will be shared to support system-to-system connections across authorization boundaries and decisions for shared services within DoD, and in coordination with other Federal agencies, as appropriate.<br>- The DoD CISO will charter the RMF TAG to interface with DoD Components on emerging RMF issues affecting the DoD Information Network.<br>- The RMF Knowledge Service (KS) will be the authoritative source for RMF implementation guidance, standards, and tools, as governed by the RMF TAG.<br>- DoD personnel making decisions affecting cybersecurity or cyber operational risk will be accountable, as appropriate, for those decisions. |
| DoD CISO responsibilities | - Develops, implements, and oversees the Cybersecurity Program for DoD.<br>- Oversees implementation of this issuance and the cybersecurity risk management of DoD systems, distributes RMF standards, and supports JCA owners in developing the required RMF guidance for their respective portfolios.<br>- Establishes the construct and program for AOs, including qualification and training requirements, and ensures acquisition programs and DoD systems have AOs appointed consistent with that construct. The construct must ensure the AOs, with the assistance of PMs or system owners (SOs), will:<br>- Oversee cybersecurity activities, findings, and remediation actions from developmental, operational, and cybersecurity testing or assessment activities throughout the system lifecycle.<br>- Ensure data from those activities are captured in security authorization packages to inform risk-based authorization decisions.<br>- Coordinates with USD(R&E) and DOT&E to ensure cybersecurity DT&E and OT&E policies, procedures, and guidance integrate with RMF policies and procedures.<br>- Assists other organizations in executing the RMF by providing subject matter expertise in coordination with the Chairman of the Joint Chiefs of Staff.<br>- Incorporates USCYBERCOM and National Security Agency/Central Security Service cyber operational risk tolerances into security authorization baselines, as applicable. |
| DISA responsibilities | - Oversees DISA control correlation identifiers, security requirements guides, and security technical implementation guides to maintain consistency with CNSSI 1253; NIST SP 800-53 security and privacy controls; and NIST SP 800-53A assessment procedures.<br>- Develops and provides RMF training and awareness products.<br>- Develops and provides a distributed training capability to support the DoD Components in accordance with DoDD 8140.01.<br>- Develops and provides training materials posted on the DoD Cyber Exchange at https://cyber.mil.<br>- Identifies or develops and distributes DoD enterprise RMF management tools. |
| Under Secretary of Defense for Acquisition and Sustainment responsibilities | - Coordinates with the DoD CISO to integrate RMF policies, processes, and procedures with Defense Acquisition System processes for acquisitions of DoD systems.<br>- Verifies DoD Component acquisition program executive offices and PMs are accountable for coordinating tradeoff decisions during sustainment of systems (i.e., decisions to withhold or delay vulnerability remediation, which significantly impact survivability of systems under conditions of the intended operational environment) with the requirements sponsors, AO, and Component cyberspace operations forces. |
| USD(R&E) responsibilities | - Coordinates with the DoD CISO and Director, National Security Service/Chief, Central Security Service for consistent integration between: the RMF policies and procedures; Systems Engineering; Developmental test, evaluation, and assessment policies and procedures; Guidance for acquisition of DoD digital capabilities, including national security systems in coordination with the Director, National Security Service/Chief, Central Security Service.<br>- Provides the RMF TAG with input as appropriate or required. |
| DOT&E responsibilities | - Reviews the plans, execution, and results of operational testing to adequately evaluate cybersecurity for all DoD information technology acquisitions subject to oversight.<br>- In coordination with the DoD CISO, ensures OT&E findings are integrated into the RMF and provides the RMF TAG with input as appropriate or required. |
| National Security Agency/Chief, Central Security Service responsibilities | - Recommends solutions to mitigate vulnerabilities in current operational weapons and space systems.<br>- Recommends solutions to harden the security design of future systems.<br>- Assesses the overall security posture of National Security Systems, identifies their vulnerabilities, and disseminates information regarding threats to DoD.<br>- In coordination with the cognizant AO, assesses cybersecurity requirements and information system security architectures of applicable National Security Systems before program initiation for new systems and all acquisition milestones.<br>- Provides verified system security engineering services to support the RMF when provided to DoD Components.<br>- Delivers threat and risk reports to support authorization decisions. |
| OSD and DoD Component heads responsibilities | - Integrate Component cybersecurity throughout system engineering and testing processes that contribute to cyber resilience, survivability, materiel readiness, and cyberspace operational readiness.<br>- Manage Component cybersecurity risks to respective systems in accordance with the principles and processes contained in this issuance.<br>- Establish and maintain cybersecurity governance bodies and methods to monitor and manage system cybersecurity risks and integrate their Component governance processes with the DoD enterprise governance processes in this issuance.<br>- Develop and maintain Component level guidance required by the “Prepare” step of the RMF and verify that all subcomponents build and maintain the necessary guidance for their business or mission function.<br>- Categorize systems and select controls in accordance with CNSSI 1253 and implement a corresponding set of security controls in accordance with NIST SP 800-53.<br>- Require use of the DoD-specific assignment values, overlays, implementation guidance, and assessment procedures found on the RMF KS.<br>- Identify and allocate resources for the RMF in the DoD Planning, Programming, Budgeting, and Execution process.<br>- Implement continuous monitoring activities in accordance with OMB Memorandum M-14-03, NIST SP 800-137, NIST SP 800-137A, and DoDIs 8530.01 and 8531.01.<br>- Develop and maintain a plan of action and milestones (POA&M) to address known vulnerabilities in the system, subsystems, and system components in accordance with DoDI 8531.01.<br>- Adhere to a Component cybersecurity program in accordance with DoDI 8500.01.<br>- Conduct RMF activities in all phases of the DoD acquisition process (i.e., requirements development, procurement, DT&E, OT&E, and sustainment) to increase security and decrease cost.<br>- Verify the appointment of a PM or SO for all Component systems.<br>- Appoint an AO for every system operating within or on behalf of the Component in accordance with DoDI 8500.01 and Appendix D, Paragraph D.6 of NIST SP 800-39 and authorize systems in accordance with this issuance. The AOs must:<br>- Only be government personnel. This role cannot be re-delegated to personnel who do not meet this requirement.<br>- Possess relevant expertise with the leveraged technology as part of the system, and this must be a factor in their selection and appointment as an official responsible for authorizing systems.<br>- Manage and reduce cybersecurity risk and complete duties, which are evaluated in annual performance evaluation criteria.<br>- Complete AO training or an RMF training course offered by NIST.<br>- Develop and issue systems guidance that reflects Component-unique operational and environmental demands as needed.<br>- Verify that Component processes regarding the RMF, cybersecurity, systems engineering, and testing are integrated and actively share system-related data across these processes as contributors to cyber resilience, survivability, materiel readiness, and cyberspace operational readiness.<br>- Direct PMs and information SOs to maintain DoD systems under their authority to comply with the RMF.<br>- Operate only authorized DoD systems with a current authorization to operate (ATO), and maintain authorized DoD systems are maintained under their authority to comply with RMF.<br>- Manage, maintain, and mitigate risks throughout the system lifecycle in accordance with cybersecurity operational requirements.<br>- Oversee and verify that personnel engaged in, or supporting, the RMF are appropriately trained and possess professional certifications in accordance with DoDD 8140.01 and supporting issuances.<br>- Ensure Component information SOs appoint user representatives (URs) for DoD systems under their purview.<br>- Coordinate Component’s participation in the RMF TAG.<br>- Require that contracts and other agreements include specific requirements in accordance with this issuance.<br>- Provide cybersecurity developmental, operational, and sustainment test and evaluation (T&E), and assessment results for acquisition and fielded programs to the appropriate AO to inform ATO decisions.<br>- Ensure acquisition programs submit cybersecurity T&E results to the appropriate AO to inform ATO decisions.<br>- Ensure acquisition programs develop evaluation metrics for DT&E and OT&E, and continuous monitoring, at the beginning of the development process. |
| Chairman of the Joint Chiefs of Staff responsibilities | - Requires the Joint Capabilities Integration and Development System process to support and document system categorization in accordance with this issuance.<br>- Maps systems to dependent missions.<br>- Supports JCA owners in developing required RMF guidance for their portfolios. |
| Commander, United States Strategic Command responsibilities | - Serves as the AO for nuclear command, control, and communication systems as identified by the Joint Staff (as the Warfighting MA Principal AO (PAO)).<br>- Delegates system-level responsibilities, as required. |
| Commander, United States Space Command responsibilities | - Assigns AOs for space systems.<br>- Issues authorization guidance in accordance with this issuance for space systems.<br>- Resolves authorization issues for space systems used by the DoD in accordance with DoDI 8500.01 and Committee on National Security Systems Policy No. 12. |
| Commander, USCYBERCOM responsibilities | - Coordinates with the other DoD Component heads to ensure all cybersecurity risk management decision-makers are aware of significant cybersecurity risks.<br>- Coordinates with the other DoD Component heads to integrate the vulnerability management process into the RMF process.<br>- Coordinates with the Director, National Security Agency/Chief, Central Security Service to make cyberspace operations forces’ operational risk tolerances and relevant cyber threat information available to all cybersecurity risk management decision-makers to eliminate isolated processes. |
| RMF steps | - Prepare<br>- Categorize<br>- Select<br>- Implement<br>- Assess<br>- Authorize<br>- Monitor |
| Prepare step tasks | - Task P-1 Risk Management Roles: Individuals are identified and assigned key roles for executing the RMF. Primary Responsibility: Head of Agency; Chief Information Officer (CIO); Senior Agency Official for Privacy.<br>- Task P-2 Risk Management Strategy: A risk management strategy for the organization that includes a determination and expression of organizational risk tolerance is established. Primary Responsibility: Head of Agency.<br>- Task P-3 Risk Assessment – Organization: An organization-wide risk assessment is completed, or an existing risk assessment is updated. Primary Responsibility: Senior Accountable Official for Risk Management or Risk Executive (Function); Senior Agency information security officer (ISO); Senior Agency Official for Privacy.<br>- Task P-4 Organizationally – Tailored Control Baselines and CSF Profiles (Optional): Organizationally-tailored control baselines and/or CSF profiles are established and made available. Primary Responsibility: Mission or Business Owner; Senior Accountable Official for Risk Management or Risk Executive (Function).<br>- Task P-5 Common Control Identification: Common controls that are available for inheritance by organizational systems are identified, documented, and published. Primary Responsibility: Senior Agency ISO; Senior Agency Official for Privacy.<br>- Task P-6 Impact – Level Prioritization (Optional): A prioritization of organizational systems with the same impact level is conducted. Primary Responsibility: Senior Accountable Official for Risk Management or Risk Executive (Function).<br>- Task P-7 Continuous Monitoring Strategy – Organization: An organization-wide strategy for monitoring control effectiveness is developed and implemented. Primary Responsibility: Senior Accountable Official for Risk Management or Risk Executive (Function).<br>- Task P-8 Mission or Business Focus: Missions, business functions, and mission or business processes that the system is intended to support are identified. Primary Responsibility: Mission or Business Owner.<br>- Task P-9 System Stakeholders: The stakeholders having an interest in the system are identified. Primary Responsibility: Mission or Business Owner; SO.<br>- Task P-10 Asset Identification: Stakeholder assets are identified and prioritized. Primary Responsibility: SO.<br>- Task P-11 Authorization Boundary: The authorization boundary (i.e., system) is determined. Primary Responsibility: AO.<br>- Task P-12 Information Types: The types of information processed, stored, and transmitted by the system are identified. Primary Responsibility: SO; Information Owner (IO) or Steward.<br>- Task P-13 Information Life Cycle: All stages of the information life cycle are identified and understood for each information type processed, stored, or transmitted by the system. Primary Responsibility: Senior Agency Official for Privacy; SO; IO or Steward.<br>- Task P-14 Mission-Based Cyber Risk Assessment: A system-level risk assessment is completed or an existing risk assessment is updated. Primary Responsibility: SO; Information System Security Officer (ISSO); System Privacy Officer.<br>- Task P-15 Requirements Definition: Security and privacy requirements are defined and prioritized. Primary Responsibility: Mission or Business Owner; SO; IO or Steward; System Privacy Officer.<br>- Task P-16 Enterprise Architecture: The placement of the system within the enterprise architecture is determined. Primary Responsibility: Mission or Business Owner; Enterprise Architect; Security Architect; Privacy Architect.<br>- Task P-17 Requirements Allocation: Security and privacy requirements are allocated to the system and to the environment in which the system operates. Primary Responsibility: Security Architect; Privacy Architect; ISSO; System Privacy Officer.<br>- Task P-18 System Registration: The system is registered for purposes of management, accountability, coordination, and oversight. Primary Responsibility: SO. |
| Categorize step tasks | - Task C-1 System Description: The characteristics of the system are described and documented. Primary Responsibility: SO.<br>- Task C-2 Security Categorization: A security categorization of the system, including the information processed by the system represented by the organization-identified information types, is completed. Security categorization results are documented in the security, privacy, and supply chain risk management plans. Security categorization results are consistent with the enterprise architecture and commitment to protecting organizational missions, business functions, and mission or business processes. Security categorization results reflect the organization’s risk management strategy. Primary Responsibility: SO; IO or Steward.<br>- Task C-3 Security Categorization Review and Approval: The security categorization results are reviewed, and the categorization decision is approved by senior leaders in the organization. Primary Responsibility: AO or AODR; Senior Agency Official for Privacy (for systems processing personal identifiable information). |
| Select step tasks | - Task S-1 Control Selection: Control baselines necessary to protect the system commensurate with risk are selected. Primary Responsibility: SO; Common Control Provider.<br>- Task S-2 Control Tailoring: Controls are tailored, producing tailored control baselines. Primary Responsibility: SO; Common Control Provider.<br>- Task S-3 Control Allocation: Controls are designated as system-specific, hybrid, or common controls. Controls are allocated to the specific system elements (i.e., machine, physical, or human elements). Primary Responsibility: Security Architect; Privacy Architect; ISSO; System Privacy Officer.<br>- Task S-4 Documentation of Planned Control Implementations: Controls and associated tailoring actions are documented in security and privacy plans or equivalent documents. Primary Responsibility: SO; Common Control Provider.<br>- Task S-5 Continuous Monitoring Strategy – System: A continuous monitoring strategy for the system that reflects the organizational risk management strategy is developed. Primary Responsibility: SO; Common Control Provider.<br>- Task S-6 Plan Review and Approval: Security and privacy plans reflecting the selection of controls necessary to protect the system and the environment of operation commensurate with risk are reviewed and approved by the AO. Primary Responsibility: AO or AODR. |
