URL: https://www.cms.gov/files/document/acceptable-risk-safeguards-v51.xlsx
TITLE: [XLS] ARS 5.1 - CMS
ERROR: None

| Control / Section | Documented cadence / frequency / timeline | Exact requirement (quote or close paraphrase) | Likely family / control ID |
|---|---|---|---|
| Access Control / AC-01 | At least every 365 days; following CMS-defined events | “Review and update the current access control: 1. Policy at least every three hundred sixty-five (365) days and following CMS-defined events …; and 2. Procedures at least every three hundred sixty-five (365) days and following CMS-defined events …” | AC-01 |
| Access Control / AC-02(h) | Within 30 days; within 12 hours | “Notify account managers and defined personnel or roles within: … when accounts are no longer required … when users are terminated or transferred … when system usage or need-to-know changes for an individual” | AC-02 |
| Access Control / AC-02(j) | At least every 365 days for Low/Moderate/High; quarterly for HVA | “Review accounts for compliance with account management requirements … at least every 365 days for all systems … quarterly” | AC-02 |
| Access Control / AC-02(02) | 60 days / 30 days / 12 hours | “Automatically Disable temporary and emergency accounts after … sixty (60) days / thirty (30) days / twelve (12) hours” | AC-02(02) |
| Access Control / AC-02(03) | Within 30 days; inactive for 60 / 30 / 30 days | “Disable accounts within thirty (30) days when the accounts … Have been inactive for … sixty (60) days / thirty (30) days / thirty (30) days” | AC-02(03) |
| Access Control / AC-02(05) | Inactivity exceeds 90 minutes | “Require that users log out when the time-period of inactivity exceeds 90 minutes and at the end of the user’s normal work period.” | AC-02(05) |
| Access Control / AC-02(12) | Quarterly | “Monitor system accounts for atypical use; and … Report atypical usage …” | AC-02(12) |
| Access Control / AC-02(13) | Within 60 minutes / 30 minutes / 30 minutes | “Disable accounts of individuals within … sixty (60) minutes / thirty (30) minutes / thirty (30) minutes of discovery of violation of CMS policy.” | AC-02(13) |
| Access Control / AC-03 | At least every 365 days; three (3) years | “Enforce approved authorizations …” baseline review frequency shown as annual; assessment frequency three years | AC-03 |
| Access Control / AC-03(09) | N/A beyond annual/3-year shown | “Release information outside of the system only if …” | AC-03(09) |
| Access Control / AC-03(14) | At least every 365 days; three (3) years | “Provide defined mechanisms …” | AC-03(14) |
| Access Control / AC-04 | At least every 365 days; three (3) years | “Enforce approved authorizations for controlling the flow of information within the system and between connected systems …” | AC-04 |
| Access Control / AC-04(04) | At least every 365 days; three (3) years | “Prevent encrypted information from bypassing information flow control mechanisms …” | AC-04(04) |
| Access Control / AC-05 | At least every 365 days; three (3) years | “Identify and document … duties requiring separation …” | AC-05 |
| Access Control / AC-06(01) | Quarterly | “Authorize access for defined individuals or roles to CMS-defined security functions …” | AC-06(01) |
| Access Control / AC-06(03) | Quarterly | “Authorize network access to privileged commands … only for compelling operational needs …” | AC-06(03) |
| Access Control / AC-06(05) | Quarterly | “Restrict privileged accounts on the system to personnel or roles …” | AC-06(05) |
| Access Control / AC-06(07) | No less often than every 90 days | “Review ano less often than every ninety (90) days the privileges assigned to defined roles or classes of users …” | AC-06(07) |
| Access Control / AC-06(10) | At least every 365 days; annual assessment | “Prevent non-privileged users from executing privileged functions.” | AC-06(10) |
| Access Control / AC-07 | 120 minutes; 5 invalid attempts / 3 invalid attempts; record event | “Lock out the user account automatically after five (5) invalid login attempts … during a 120 minutes … and … record the event” | AC-07 |
| Access Control / AC-08 | Before granting access; retain until explicit action | “Display … before granting access … Retain the notification message or banner on the screen until users acknowledge …” | AC-08 |
| Access Control / AC-10 | One (1) session | “Limit the number of concurrent sessions for each account … to one (1) session …” | AC-10 |
| Access Control / AC-11 | 15 minutes of inactivity | “Initiating a device lock after fifteen (15) minutes of inactivity …” | AC-11 |
| Access Control / AC-11(01) | Quarterly | “Conceal, via the device lock, information previously visible on the display with a publicly viewable image.” | AC-11(01) |
| Access Control / AC-12 | Trigger events / inactivity / time-of-day restrictions | “Automatically terminate a user session after conditions or trigger events …” | AC-12 |
| Access Control / AC-14 | At least every 365 days; annual assessment | “Identify defined … actions that can be performed on the system without identification or authentication …” | AC-14 |
| Access Control / AC-17 | Quarterly | “Establish and document usage restrictions … for each type of remote access allowed; and authorize each type of remote access … prior to allowing such connections.” | AC-17 |
| Access Control / AC-17(01) | Quarterly | “Employ automated mechanisms to monitor and control remote access methods.” | AC-17(01) |
| Access Control / AC-17(02) | At least every 365 days; annual assessment | “Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.” | AC-17(02) |
