URL: https://dl.dod.cyber.mil/wp-content/uploads/stigs/pdf/U_STIG_Viewer_3-x_User_Guide_V1R5.pdf
TITLE: [PDF] STIG Viewer 3.x User Guide - DoD Cyber Exchange
ERROR: None

| Area | Extracted details |
|---|---|
| Scope relevance | No explicit operational runbook/SOP structure, recurring security/compliance task execution, audit evidence/artifacts, POA&M or remediation records, RACI/role responsibilities, task/ticket/playbook templates, escalation/exception handling, or recurring cadence for security operations are described as such in the page. |
| Available procedural structure | The page is a user guide with numbered sections and step-by-step procedures for installing, opening, viewing, creating, updating, saving, importing, and exporting content in STIG Viewer 3.x and the SRG/STIG Applicability Guide. |
| Named major sections | 1. INTRODUCTION; 2. INSTALLING AND RUNNING STIG VIEWER 3.X; 3. USING STIG VIEWER 3.X; 4. STIG EXPLORER; 5. CHECKLIST; 6. SRG/STIG APPLICABILITY GUIDE |
| Named subsections | 1.1 About DOD/DISA STIG Viewer; 1.2 About the SRG/STIG Applicability Guide; 2.1 Installing Standalone STIG Viewer; 2.2 Installing the STIG Viewer Windows MSI Package; 2.3 Verifying Integrity of STIG Viewer Packages; 2.4 Unblocking on Windows; 2.5 Linux File Access Policy; 2.6 Digital Signatures; 2.7 STIG Viewer Help; 3.1 Opening STIG Viewer; 4.1 Open STIGs; 4.1.1 To Open STIGs from the Home Screen; 4.1.2 To Open STIGs from the STIG Viewer Icon; 4.2 Adding STIGs to the Library; 4.3 Viewing STIGs; 4.3.1 View Multiple STIGs – Filtered; 4.3.2 View Multiple STIGs – Unfiltered; 4.3.3 Viewing More STIGs; 4.4 Remove STIGs from Recent STIGs and STIG Library; 4.5 Keyword Search; 4.6 Comparing STIGs; 5.1 Create Checklist from Home Page or Top Navigation Bar; 5.2 Create Another Checklist; 5.3 Opening an Existing Checklist; 5.4 Updating Checklists; 5.4.1 Changing the Status of Rules; 5.4.2 Override Severity Status; 5.4.3 Filtering a Checklist; 5.4.4 Populating Target Data; 5.4.5 Adding Comments and Finding Details to a Single Rule; 5.4.6 Adding Comments and Finding Details to Multiple Rules; 5.5 Saving a Checklist; 5.6 Importing XCCDF Results into a Checklist; 5.7 Importing Checklist Data; 5.8 Exporting Checklist Data; 5.9 Resizing the Checklist Pane; 6.1 Accessing Applicability Guide from STIG Viewer 3 Dashboard; 6.2 Menu; 6.2.1 File Menu; 6.2.2 App Menu; 6.3 Navigation Bar Menu; 6.3.1 Overview; 6.3.2 Merge Button; 6.3.3 Save Button; 6.3.4 Export Button; 6.3.5 Right-Click Menu; 6.4 Asset Tree; 6.4.1 Overview; 6.4.2 Creating a Collection; 6.4.3 Adding Assets (Standard Mode); 6.4.4 Adding Assets (Guide Mode); 6.4.5 Adding Parent Assets; 6.4.6 Adding Parent Assets (Guide Mode); 6.4.7 Editing Assets; 6.4.8 Removing Assets; 6.5 Save, Open, and Merge; 6.5.1 Overview; 6.5.2 Save Collection; 6.5.3 Open Collection; 6.5.4 Merge Collection; 6.6 Drag and Drop; 6.6.1 Overview; 6.6.2 Drag and Drop Assets; 6.7 Exports; 6.7.1 Overview; 6.7.2 Preview; 6.7.3 Exporting; 6.7.4 Scenario |
| Versions/date | Version 1, Release 5; 11 February 2025; STIG Viewer 3.x User Guide, V1R5 |
| Publisher/developer | Defense Information Systems Agency; Developed by DISA for the DOD |

### Operational/runbook-like procedures and recurring tasks

