URL: https://www.fedramp.gov/resources/templates/SSP-Appendix-A-Low-FedRAMP-Security-Controls.docx
TITLE: SSP-Appendix-A-Low-FedRAMP-Security-Controls. ...
ERROR: None

| Topic | Control ID | Exact frequency / timeline / retention period | Closely quoted source text | Notes / absence |
|---|---|---:|---|---|
| Audit record review, analysis, and reporting | AU-6 | **“at least weekly”** | “Review and analyze system audit records **[FedRAMP Assignment: at least weekly]** for indications of [Assignment: organization-defined inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity;” | Frequency is explicitly FedRAMP-assigned. |
| Audit record retention | AU-11 | **“a time period in compliance with M-21-31”**; plus **“on-line for at least ninety days”**; plus **“off-line for a period that is in accordance with NARA requirements”** | “Retain audit records for **[FedRAMP Assignment: a time period in compliance with M-21-31]** to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.”<br><br>“The service provider retains audit records on-line for **at least ninety days** and further preserves audit records off-line for a period that is in accordance with NARA requirements.” | The control text itself leaves the retention period as FedRAMP-assigned; additional FedRAMP guidance gives concrete retention periods. |
| Account management review | AC-2 | **“at least annually”** | “Review accounts for compliance with account management requirements **[FedRAMP Assignment: at least annually]**;” | Explicit FedRAMP frequency. |
| Account notification when accounts are no longer required | AC-2 | **“within twenty-four (24) hours”** | “Notify account managers and [Assignment: organization-defined personnel or roles] within: **1. [FedRAMP Assignment: twenty-four (24) hours] when accounts are no longer required;**” | Explicit FedRAMP timeline. |
| Account notification when users are terminated or transferred | AC-2 | **“within eight (8) hours”** | “2. **[FedRAMP Assignment: eight (8) hours] when users are terminated or transferred;**” | Explicit FedRAMP timeline. |
| Account notification when system usage or need-to-know changes | AC-2 | **“within eight (8) hours”** | “3. **[FedRAMP Assignment: eight (8) hours] when system usage or need-to-know changes for an individual;**” | Explicit FedRAMP timeline. |
| Disable/create/enable/modify/remove accounts | AC-2 | **organization-defined** | “Create, enable, modify, disable, and remove accounts in accordance with **[Assignment: organization-defined policy, procedures, prerequisites, and criteria]**;” | Source leaves timing/frequency organization-defined. |
| Temporary / shared / group accounts | AC-2 | **No concrete frequency/timeline stated** | “Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group;” | No concrete cadence given on the page. |
| Temporary accounts related timeline | AC-2 | **Not stated on page** | No explicit temporary-account-specific cadence or retention period appears in the provided AC-2 text. | Requested item absent. |
| Identifier management / account identifiers | IA-4 | **“at least two (2) years”** | “Preventing reuse of identifiers for **[FedRAMP Assignment: at least two (2) years]**.” | Explicit FedRAMP retention-like reuse interval. |
| Authenticator change/refresh | IA-5 | **organization-defined time period by authenticator type** | “Changing or refreshing authenticators **[Assignment: organization-defined time period by authenticator type]** or when [Assignment: organization-defined events] occur;” | Source leaves cadence organization-defined. |
| Password list update | IA-5(1) | **organization-defined frequency** | “Maintain a list of commonly used, expected, or compromised passwords and update the list **[Assignment: organization-defined frequency]** and when organizational passwords are suspected to have been compromised directly or indirectly;” | Source leaves frequency organization-defined. |
| Password policies / rotation | IA-5(1) | **No minimum rotation requirement** | “Password policies shall not enforce special character or **minimum password rotation requirements** for memorized secrets of users.” | This is a policy restriction, not a cadence. |
| Contingency training after assuming role | CP-3 | **“within [FedRAMP Assignment: *See Additional Requirements*]”**; additional guidance says **“within 10 days”** for privileged admins and engineers; **“within 60 days of hire date”** for newly hired critical contingency personnel | “Provide contingency training to system users consistent with assigned roles and responsibilities: **1. Within [FedRAMP Assignment: *See Additional Requirements*] of assuming a contingency role or responsibility;** …”<br><br>“**(a) Requirement:** Privileged admins and engineers must take the basic contingency training within **10 days**. … Newly hired critical contingency personnel must take this more-in-depth training within **60 days of hire date** when the training will have more impact.” | The control text leaves timing FedRAMP-assigned; additional guidance supplies concrete timelines. |
| Contingency training recurring | CP-3 | **“at least annually”** | “3. **[FedRAMP Assignment: at least annually] thereafter;**” and “Review and update contingency training content **[FedRAMP Assignment: at least annually]** and following [Assignment: organization-defined events].” | Explicit FedRAMP frequency. |
| Contingency plan review | CP-2 | **“at least annually”** | “Review the contingency plan for the system **[FedRAMP Assignment: at least annually]**;” | Explicit FedRAMP frequency. |
