URL: https://www.irs.gov/pub/irs-pdf/p1075.pdf
TITLE: Publication 1075 Tax Information Security Guidelines
ERROR: None

| Area | Extracted information |
|---|---|
| Operational runbook / SOP structure | - Publication structure includes Sections 1.0, 2.0, 3.0, 4.0, Exhibits 1 through 11, Table 9, Glossary and Key Terms, Index.<br>- Section 1.6 Safeguard Reviews is split into phases: Before the Review, During the Review, After the Review.<br>- Section 2.E reporting workflow includes SSR, CAP, 45-day notification, extension requests.<br>- Section 1.7 Termination of FTI includes Agency Request, Termination Documentation, Archiving FTI Procedure, FTI Suspension, Termination and Administrative Review.<br>- Section 1.8 Reporting Improper Inspections or Disclosures includes Terms, Data Incident, Data Breach, General, Office of Safeguards Notification Process, Incident Response Procedures, Incident Response Notification to Impacted Individuals.<br>- Section 3.2 Assessment Process includes manual and automated assessment procedures and Table 8 – Assessment Methodologies.<br>- Section 4.0 is organized by NIST control families with control-by-control requirements. |
| Recurring security / compliance tasks and cadence | - Agencies must always maintain the latest SSR on file.<br>- Initial request for FTI must be followed by submitting a SSR to Safeguards at least 90 days before the scheduled or requested receipt of FTI.<br>- SSR must be submitted annually.<br>- CAP must be updated and submitted semi-annually until all review findings are accepted as closed.<br>- If an agency has a CAP due within 60 days of the review, that CAP is not required because remaining open findings will be handled as part of the upcoming on-site or remote Safeguard Review.<br>- Authorized Access List must be reviewed monthly or upon occurrence or potential indication of an event such as a possible security breach or personnel change.<br>- Visitor access logs must be closed out at the end of each month and reviewed by management.<br>- Access control logs for secured areas must be reviewed on a monthly basis.<br>- Internal inspections review cycle: field offices receiving FTI at least every 3 years; headquarters office facilities housing FTI and the agency computer facility at least every 18 months; all contractors and sub-contractors with access to FTI, including a consolidated data center or off-site storage facility, at least every 18 months.<br>- Internal inspection plan must detail timing of all internal inspections in the current year and next two years.<br>- POA&M updates: quarterly at a minimum; new weaknesses must be entered within 2 months for weaknesses identified during assessments.<br>- Continuous monitoring frequencies must be no less than annually.<br>- Audit review of system audit records: weekly.<br>- Visitor access records review: at least monthly.<br>- Physical access logs review: at minimum monthly.<br>- Penetration testing: every 3 years.<br>- Reinvestigations for background checks: within 5 years / every 5 years.<br>- Training reminders/updates: at least quarterly.<br>- Quarterly phishing email simulation exercises required.<br>- Account reviews: annually for user accounts and semi-annually for privileged accounts.<br>- Combination locks: changed annually or when an employee who knows the combination retires, terminates employment, or transfers to another position.<br>- System maintenance tools: reviewed at least annually.<br>- Configuration management baseline: updated at minimum annually.<br>- Configuration-controlled changes records retained for 3 years.<br>- Warning banners required at application, database, operating system, and network device levels.<br>- Incident reporting required immediately, but no later than 24 hours after identification of a possible issue involving FTI.<br>- Both TIGTA and the IRS must be contacted within 24 hours of discovery of an unauthorized disclosure or data breach.<br>- Data incident reports must be submitted immediately; completeness is secondary to immediate notification.<br>- Incident response testing: annually using tabletop exercises.<br>- Contingency plan testing: at minimum annually.<br>- Backup of user-level, system-level, and system documentation: weekly.<br>- System audit records retained 7 years.<br>- Training records retained 5 years.<br>- Visitor access logs retained 5 years.<br>- FTI logs retained 5 years.<br>- Formal agreements retained 5 years.<br>- Most current SSR must be maintained.<br>- Official delegation of authority for HOA designee must be kept current and retained at least 3 years. |
| Audit evidence / artifacts / templates | - Safeguards Website contains templates, guidance and frequently asked questions.<br>- Website features include: Safeguard alerts and technical assistance documents; recommendations on how to comply with Publication 1075 requirements; reporting requirement templates (e.g., SSR) and guidance; instructions for reporting unauthorized accesses, disclosures, or data breaches; internal inspections report templates and instructions; IRS disclosure awareness videos and resources; Review Preparation Questionnaire (RPQ); Safeguard Computer Security Evaluation Matrix (SCSEM) templates organized by technology or topic; Nessus audit files.<br>- Figure 1 – Sample FTI Logs.<br>- Figure 2 – Visitor Access Log.<br>- Table 3 – SSR Evidentiary Documentation.<br>- Internal Inspection Template on the Office of Safeguards website.<br>- Contingency testing templates must include: Name of the test; Name of the system(s) or environment; Date of the test; Testing point of contact; Purpose, type of test and scope; Objectives; Methodology; Activities and results (action, expected results, actual results); Action item assessment.<br>- Exhibit 6 Contractor 45-Day Notification Procedures.<br>- Exhibit 7 Safeguarding Contract Language.<br>- Exhibit 8 Warning Banner Examples.<br>- Exhibit 9 Record Retention Schedules / Table 9 Record Retention Schedules.<br>- Table 3 SSR Evidentiary Documentation requires artifacts for controls including screenshots, policies, diagrams, audit logs, training material, independent security assessment report, POA&M report, ATO documentation, inventory listings, MFA screenshots, auth management policy, incident response plan, media sanitization policy, physical access policy, visitor access log, FTI flow diagrams, personnel sanctions policy, vulnerability scanning policy, contracts with Exhibit 7 language, system and communications policy, network architecture, network design diagram, patch management policy, malicious code protection policy. |
| POA&M / remediation records | - Section 2.D.9 Plan of Action and Milestones (POA&M): agency must implement a process for ensuring that corrective actions are developed and monitored; process must include findings identified during internal inspections and remediation plans and dates to resolve these findings.<br>- POA&M is an all-inclusive tool or document for tracking vulnerabilities identified by self-assessments, internal inspections, external audits and any other vulnerabilities identified for systems receiving, processing, storing, accessing, protecting and/or transmitting FTI.<br>- Agencies must ensure the individual and/or office responsible for correcting each weakness is identified in the appropriate POA&M.<br>- Agencies must enter all new weaknesses into appropriate POA&Ms within 2 months for weaknesses identified during assessments.<br>- CAP is the report for findings from Office of Safeguards review; CAP does not include or track agency findings from internal inspection process.<br>- CAP must include explanation and/or evidence of actions already taken or planned to resolve all outstanding findings.<br>- CAP must include an actual or planned implementation date for each outstanding finding.<br>- CAP submission must provide a written narrative in response to each finding, planned implementation date or actual completion date in MM/DD/YYYY format, evidentiary documentation to validate closure of Critical or Significant findings, and signed certification from CISO or Head of Agency to document and close findings no longer applicable.<br>- CAP update and submit semi-annually.<br>- All findings must be addressed in a timely fashion; deadlines are based on risk associated with each finding.<br>- Outstanding issues must be resolved and addressed in the next reporting cycle of the CAP.<br>- If any critical findings, mitigation plan must be submitted to Safeguards within 7 days from the closing conference date.<br>- Critical findings will be reported to TIGTA along with the agency plan.<br>- If CAP review occurs out of cycle, the agency must update CAP and provide documentation for closure consideration of remaining critical and significant findings.<br>- If any critical findings remain open and escalation of the p7 process may be initiated per Exhibit 3. |
| RACI / role responsibilities | - Office of Safeguards is responsible for all interpretations of safeguarding requirements.<br>- Agency must centralize safeguarding responsibilities to the greatest extent practical and establish and maintain uniform safeguard standards consistent with IRS guidelines.<br>- Selected official(s) / point(s) of contact (POC(s)) must ensure internal inspections are conducted, required safeguard reports are submitted to the IRS, data breach incidents are properly reported, disclosure awareness training occurs, and liaison with IRS occurs as needed.<br>- The IRS initiates safeguard review through communication with agency POC reported in SSR.<br>- Formal engagement letter goes to the agency head.<br>- Agency POC receives requests for specific information and review logistics.<br>- Primary POCs are introduced during PSE call.<br>- Agency management approval must be obtained prior to review if agency policies and procedures contradict review methods.<br>- Agency must cooperate with TIGTA and Office of Safeguards investigators and provide data and access as needed.<br>- Agency must provide written notification to a taxpayer whose FTI was subject to unauthorized access or disclosure when disciplinary or adverse action is proposed against the employee responsible.<br>- Agency must confirm to Office of Safeguards when taxpayer notification is completed and inform Office of Safeguards of any pending media releases, including sharing a draft before distribution.<br>- Head of Agency or delegate signs correspondence/reports; if signed by a designee, delegation of authority signed by HOA is required.<br>- Head of Agency may delegate authority to sign Safeguard report submissions.<br>- Designated agency official manages policy development for access control, awareness and training, audit and accountability, assessment/authorization/monitoring, configuration management, contingency planning, identification and authentication, incident response, maintenance, media protection, physical/environmental protection, planning, personnel security, risk assessment, system/services acquisition, system/communications protection, system/information integrity, supply chain risk management.<br>- Account managers and designated agency official must be notified within 24 hours when accounts are no longer required, users are terminated or transferred, or system usage or need-to-know changes.<br>- Designated agency personnel must be notified within 72 hours when formal sanctions process is initiated.<br>- Designated agency personnel must be notified within 72 hours when a formal employee sanction process is initiated under PS-8.<br>- Agency Senior Management and Agency Disclosure Personnel receive annual training feedback.<br>- Senior Agency Information Security Officer / Chief Information Security Officer responsibilities appear in PM-2 and SA-10 / SA-4 / CAP sign-off context.<br>- Senior Agency Official for Privacy responsibilities appear in PM-19 and Privacy Program Plan.<br>- Senior Accountable Official for Risk Management and Risk Executive function are assigned in PM-29.<br>- Authorizing Official or designated representative approves control assessment plan; Authorizing Official or designated representative receives control assessment results.<br>- Authorizing Official approves system authorization prior to operation. |
| Escalation / exception handling | - If unable to contact local TIGTA Field Division, contact Hotline Number 800-366-4484 during normal working hours; after regular business hours call 800-589-3718.<br>- For intrusions, manipulations or compromises of computer networks, or any breach involving unauthorized disclosure within an IT environment, contact TIGTA Electronic Crimes & Intelligence Division at cybercrimes@tigta.treas.gov.<br>- If no FTI is involved in a spill, there is no need to report the spill to the Office of Safeguards or TIGTA.<br>- If the agency cannot show FTI was not involved within 24 hours, spill must be reported to Office of Safeguards and TIGTA.<br>- Reports must be electronically encrypted via IRS-approved encryption techniques and not include any FTI in the data incident report.<br>- Immediate notification is more important than completeness of the data incident report.<br>- Requests for corrections to the SRR must be emailed to SafeguardReports@irs.gov; Office of Safeguards responds with acknowledgement and determination.<br>- If agency has critical findings, mitigation plan must be submitted within 7 days.<br>- If CAP is due within 60 days of the review, CAP is not required because open findings will be handled as part of upcoming review.<br>- SSR extension requests allowed in 30-day increments, maximum of 60 days, submitted not later than 30 days prior to scheduled due date; second extension requires draft SSR; response within 5 business days.<br>- CAP extension requests allowed for no more than 30 days, submitted not later than 30 days prior to scheduled CAP due date; response within 5 business days.<br>- If 45-day notification is not possible, contact Safeguards mailbox for assistance.<br>- If agency cannot prevent cloud service provider from having logical access to data, notification for disclosure to contractor or sub-contractor is required.<br>- If agency intends to use contractor for statistical analysis, tax modeling or revenue projections, notification and separate methodology/data statement required; approval through Statistics of Income and Disclosure.<br>- If the IRS determines safeguards are inadequate or unauthorized inspection/disclosure occurred, it may suspend or terminate disclosures and provide written notice; agency may appeal under Exhibit 3 / CFR § 301.6103(p)(7)-1 within 30 days.<br>- If risk response is to mitigate but cannot be completed immediately, POA&M entry is generated.<br>- If threat or vulnerability discovered in system monitoring, output and alerts routed to designated officials and incident response capability.<br>- If media sanitization occurs, every third piece must be tested after sanitization has been completed.<br>- If shredding deviates from specified size, FTI must be safeguarded until rendered unreadable through additional means such as burning or pulping.<br>- If contractor used for destruction and destruction not witnessed by agency employee, contractor must certify destruction.<br>- If contractor or sub-contractor is used for disposal, contract must contain Exhibit 7a and 7b safeguarding language as appropriate.<br>- If FTI is not backed up or replicated to secondary environment, agency must develop policy prohibiting such action and supporting procedures documenting how FTI is excluded from system backup processes. |
| Named fields / templates / headings | - Table 3 – SSR Evidentiary Documentation.<br>- Table 4 - SSR Submission Dates.<br>- Table 5 – CAP Submission Dates.<br>- Table 6 – Notification Reporting.<br>- Table 7 - FTI Destruction Methods.<br>- Table 8 – Assessment Methodologies.<br>- Table 9 Record Retention Schedules.<br>- Figure 1 – Sample FTI Logs.<br>- Figure 2 – Visitor Access Log.<br>- Exhibit 6 Contractor 45-Day Notification Procedures.<br>- Exhibit 7 Safeguarding Contract Language.<br>- Exhibit 8 Warning Banner Examples.<br>- Internal Inspection Template.<br>- Review Preparation Questionnaire (RPQ).<br>- Safeguard Computer Security Evaluation Matrix (SCSEM).<br>- Data Testing Request (DTR) form.<br>- Need and Use Justification Statement for Use of Federal Tax Information form.<br>- Need and Use Justification for Federal Tax Information Form.<br>- Corrective Action Plan (CAP).<br>- Safeguards Security Report (SSR).<br>- Preliminary Findings Report (PFR).<br>- Safeguard Review Report (SRR).<br>- Preliminary Assessment Report (PAR).<br>- Service Level Agreement (SLA).<br>- Interconnection Security Agreements (ISAs).<br>- System Security and Privacy Plans.<br>- Privacy Program Plan.<br>- Information Security Program Plan.<br>- Configuration Management Plan.<br>- Contingency Plan.<br>- Incident Response Plan.<br>- Media Sanitization Policy and Procedures.<br>- Physical Access Policy and Procedures.<br>- Alternative Worksite Policy and Procedures.<br>- Password and Authenticator Management Policy and Procedures.<br>- Vulnerability scanning Policy and Procedures.<br>- Patch Management Policy and Procedure.<br>- Malicious Code Protection Policy and Procedure.<br>- Personnel Sanctions Policy and Procedures.<br>- Access Control Policy and Procedures.<br>- Audit and Accountability Policy and Procedures.<br>- System and Communications Policy and Procedures.<br>- System Maintenance Policy and Procedures.<br>- Media Protection Policy and Procedures.<br>- Physical and Environmental Policy and Procedures.<br>- Awareness and Training Policy and Procedures.<br>- Incident Response Policy and Procedures.<br>- Risk Assessment Policy and Procedures.<br>- System and Services Acquisition Policy and Procedures.<br>- Supply Chain Risk Management Policy and Procedures.<br>- System and Information Integrity Policy and Procedures.<br>- Privacy Program Roles.<br>- Information Security Program Leadership Role.<br>- Risk Management Program Leadership Roles.<br>- Personnel Security Policy and Procedures.<br>- Personnel Termination.<br>- Personnel Transfer.<br>- Access Agreements.<br>- Rules of Behavior.<br>- System Component Inventory.<br>- Plan of Action and Milestones Process.<br>- Training Records.<br>- Visitor Access Records.<br>- System Recovery and Reconstitution.<br>- Disposal of FTI. |
| Fields captured in logs / records / forms | - FTI log fields: Taxpayer Identifier; Tax year(s); Type of information; Reason for request; Date requested; Date received; Exact location of the FTI; Who has had access to the data; If disposed of, the date and method of disposition.<br>- Separate disclosure log for outside-agency disclosures: to whom disclosure was made; what was disclosed; why it was disclosed; when it was disclosed.<br>- FTI bulk transfer log sample fields: Date Received; Control Number/File Name; Content (do not include FTI); Recipient/Title; Number of Records; Movement Location; Recipient/Title of FTI; Disposition Date; Disposition Method.<br>- Visitor access log fields: Name and organization of the visitor; Signature of the visitor; Form of identification; Date of access; Time of entry and departure; Purpose of visit; Name and organization of person visited.<br>- Authorized Access List fields: Name of employee/vendor/contractor/non-agency personnel; Agency or department name; Name and phone number of the agency POC authorizing access; Address of agency/vendor/contractor; Purpose and level of access.<br>- Access control log fields: Owner of the access control device requesting access; Success/failure of the request; Date and time of the request.<br>- Data incident report fields: Name of agency and agency POC for resolving data incident with contact information; Date and time the incident/breach occurred; Date and time the incident/breach was discovered; How the incident/breach was discovered; Description of the incident/breach and the data involved, including specific data elements, if known; Potential number of FTI records involved, if unknown provide a range if possible; Address where the incident/breach occurred; IT involved; Does the incident involve an unauthorized access or disclosure by an agency employee? (Y/N); If a criminal indictment is not pursued, will a disciplinary or adverse action be proposed against the agency employee involved? (Y/N).<br>- CAP response fields: written narrative in response to each finding; planned implementation date or actual completion date in MM/DD/YYYY format; evidentiary documentation to validate closure of Critical or Significant findings; signed certification from CISO or Head of Agency for findings no longer applicable.<br>- SSR evidentiary docs by control include screenshots, sample logs, policies/procedures, FTI data flow diagram, incident response plan, POA&M report, ATO documentation, inventory listing, MFA screenshots, identity proofing description, physical access policy, alternative worksite policy, network architecture documents, network design diagram, patch management policy, malicious code protection policy, contracts with Exhibit 7 language.<br>- Contractor 45-Day Notification letter fields: name, address, phone number and email address of agency point of contact; name and address of contractor; contract number and date awarded; contract period covered; type of service covered by the contract; number of contracted workers; name and description of agency program supported; detailed description of FTI to be disclosed; description of work to be performed by contractor including phased timing, how FTI will be accessed, and how tasks may change throughout the different phases; procedures for agency oversight on contractor access, storage and destruction of FTI, disclosure awareness training and incident reporting; location where work will be performed and how data will be secured if moved from the secure agency location; whether sub-contractor(s) will have access to FTI; names and addresses of all sub-contractors; description of FTI to be disclosed to sub-contractors; description of work to be performed by sub-contractors; locations where work will be performed by sub-contractors and how data will be secured; certification that contractor personnel accessing FTI and contractor information systems containing FTI are all located within the United States or territories.<br>- Contingency testing template fields: Name of the test; Name of the system(s) or environment; Date of the test; Testing point of contact; Purpose, type of test and scope; Objectives; Methodology; Activities and results (action, expected results, actual results); Action item assessment. |
| Frequencies / SLA / severity values | - Criticality levels for findings: Limited, Moderate, Significant, Critical.<br>- Critical findings mitigation plan due within 7 days from closing conference date.<br>- SRR issued within 45 days of closing conference.<br>- CAP semi-annually.<br>- SSR annually.<br>- SSR extension increments of 30 days; maximum of 60 days.<br>- CAP extension maximum 30 days.<br>- Extension requests response within 5 business days.<br>- Notification requirement minimum 45 days ahead of planned implementation for cloud computing, contractor/sub-contractor access, tax modeling, pre-production environment use.<br>- Incident notification no later than 24 hours after identification of possible issue involving FTI.<br>- Incident response plan update annual at minimum.<br>- Incident response training within 30 days of assuming role or responsibility or acquiring system access; annually thereafter.<br>- Incident response testing annually using tabletop exercises.<br>- Awareness and training policy/procedures review every 3 years.<br>- Awareness updates quarterly.<br>- Phishing simulation quarterly.<br>- Account reviews annually / semi-annually for privileged accounts.<br>- Session termination after 30 minutes of inactivity.<br>- Device lock after 15 minutes of inactivity.<br>- Mobile device wipe after 10 unsuccessful login attempts.<br>- Unsuccessful logon attempts limited to 3 consecutive invalid attempts in 120-minute period; account locked for 15 minutes or until released.<br>- Password change every 90 days for all user accounts; every 366 days for service accounts.<br>- Password history 24 generations; if time-based restriction used, not reusable for 6 months.<br>- Background investigations reinvestigation within 5 years.<br>- Audit records retained 7 years.<br>- Training records retained 5 years.<br>- Visitor access logs retained 5 years.<br>- Internal inspections report retention 5 years.<br>- Configuration-controlled changes records retained 3 years.<br>- Access agreements review annually.<br>- Contingency training within 30 days of assuming role or responsibility; annually thereafter.<br>- System backup weekly.<br>- Vulnerability scans every 30 days; prior to new information system on network; when new vulnerabilities identified and reported; daily for networked workstations and malicious code protection update checks per SI-2 CE-2.<br>- Control assessments annually.<br>- Continuous monitoring no less than annually.<br>- Penetration testing every 3 years.<br>- Internal system connections review annually.<br>- Physical access list review at least annually.<br>- Physical access logs review monthly.<br>- Visitor access records review at least monthly.<br>- System audit review weekly.<br>- Audit processing failures: alert within 24 hours when allocated audit logs storage volume reaches specified percentage of repository maximum capacity.
