URL: https://www.fedramp.gov/resources/templates/SSP-Appendix-A-Moderate-FedRAMP-Security-Controls.docx
TITLE: SSP-Appendix-A-Moderate-FedRAMP-Security-Controls.docx
ERROR: None

| Control ID | Exact frequency / timeline / retention period | Quoted text |
|---|---|---|
| AU-6 | at least weekly | “Review and analyze system audit records **[FedRAMP Assignment: at least weekly]** for indications of **[Assignment: organization-defined inappropriate or unusual activity]** and the potential impact of the inappropriate or unusual activity;” |
| AU-11 | a time period in compliance with M-21-31 | “Retain audit records for **[FedRAMP Assignment: a time period in compliance with M-21-31]** to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.” |
| AU-11 | on-line for at least ninety (90) days | “The service provider retains audit records **on-line for at least ninety (90) days** and further preserves audit records off-line for a period that is in accordance with NARA requirements.” |
| AU-11 | off-line for a period in accordance with NARA requirements | “The service provider retains audit records on-line for at least ninety (90) days and further preserves audit records **off-line for a period that is in accordance with NARA requirements**.” |
| AU-11 | automatically updated if M-21-31 is rescinded, updated, or replaced | “This additional requirement should be **automatically updated if M-21-31 is rescinded, updated, or replaced**.” |
| AC-2 | twenty-four (24) hours when accounts are no longer required | “Notify account managers and **[Assignment: organization-defined personnel or roles] within [FedRAMP Assignment: twenty-four (24) hours] when accounts are no longer required;” |
| AC-2 | eight (8) hours when users are terminated or transferred | “Notify account managers and **[Assignment: organization-defined personnel or roles] within [FedRAMP Assignment: eight (8) hours] when users are terminated or transferred**;” |
| AC-2 | eight (8) hours when system usage or need-to-know changes for an individual | “Notify account managers and **[Assignment: organization-defined personnel or roles] within [FedRAMP Assignment: eight (8) hours] when system usage or need-to-know changes for an individual**;” |
| AC-2 | quarterly for privileged access | “Review accounts for compliance with account management requirements **[FedRAMP Assignment: quarterly for privileged access, annually for non-privileged access]**;” |
| AC-2 | annually for non-privileged access | “Review accounts for compliance with account management requirements **[FedRAMP Assignment: quarterly for privileged access, annually for non-privileged access]**;” |
| AC-2(2) | no more than 96 hours from last use | “Automatically **[FedRAMP Assignment: disables] temporary and emergency accounts after [FedRAMP Assignment: no more than 96 hours from last use]**.” |
| AC-2(3) | twenty-four (24) hours for user accounts | “Disable accounts within **[FedRAMP Assignment: twenty-four (24) hours for user accounts]** when the accounts:” |
| AC-2(3) | ninety (90) days | “(d) Have been inactive for **[FedRAMP Assignment: ninety (90) days (See additional requirements and guidance.)]**.” |
| AC-2(5) | end of a user’s standard work period | “Require that users log out when **[FedRAMP Assignment: for privileged users, it is the end of a user's standard work period]**.” |
