URL: https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53Ar5.pdf
TITLE: Assessing Security and Privacy Controls in Information ...
ERROR: None

| Category | Extracted information |
|---|---|
| Publication | NIST Special Publication 800-53A Revision 5 |
| Title | Assessing Security and Privacy Controls in Information Systems and Organizations |
| Date | January 2022 |
| Scope | Methodology and set of procedures for conducting assessments of security and privacy controls employed within systems and organizations within an effective risk management framework |
| Key lifecycle phases explicitly referenced | initiation; development/acquisition; implementation; operations and maintenance; disposition (disposal) |
| Assessment lifecycle use | assessments are executed at various phases of the system development life cycle; routinely conducted during development/acquisition and implementation; conducted during operations and maintenance; conducted at end of life cycle for disposal |
| Related frameworks/publications | Risk Management Framework (RMF); [SP 800-37]; [SP 800-53]; [SP 800-53B]; [SP 800-39]; [SP 800-137]; [SP 800-47], Revision 1; [OMB A-130]; [FISMA]; [CNSSI 1253]; [FIPS 199]; [SP 800-60 Vol 1]; [SP 800-60 Vol 2]; [NARA CUI]; [FedRAMP]; [ISO 15408]; [FIPS 140-3] |
| Supplemental formats | assessment procedures in Chapter 4 are published in CSV, plain text, and OSCAL; available from publication details page and OSCAL Content Git Repository |

### Operational runbook / SOP structure and cadence

| Section / Step | Explicit content |
|---|---|
| Chapter Three process | prepare for security and privacy control assessments; develop security and privacy assessment plans; conduct security and privacy control assessments; analyze assessment report results; assess security and privacy capabilities |
| Table 1: Prepare step purpose | address a range of issues pertaining to the cost, schedule, scope, and performance of the control assessment |
| Table 1: Primary roles | Authorizing Official; Authorizing Official Designated Representative; system owner; common control provider; control assessors |
| Table 1: Supporting roles | System security officer; system privacy officer |
| Table 1: Outcomes | The objective, scope, and timeframe of control assessment determined; Key organizational stakeholders notified and necessary resources allocated; Assessors/assessment teams identified; Artifacts collected and provided to assessors/assessment teams; Mechanism to minimize ambiguities and misunderstandings about control implementation and identified control deficiencies or weaknesses established; Assessors/assessment teams understand the organization’s operations, structure, objective, scope, and timeframe of control assessment |
| Preparation activities by organization | ensuring appropriate policies covering security and privacy control assessments are in place and understood by all affected organizational elements; ensuring all steps in the RMF prior to the security or privacy control assessment step have been successfully completed and received appropriate management oversight; establishing objective and scope of assessments; ensuring common controls and common portion of hybrid controls assigned to appropriate organizational entities (common control providers) for development and implementation; notifying key organizational officials of impending assessments and allocating necessary resources; establishing appropriate communication channels among organizational officials with an interest in the assessments; establishing time frames for completing the assessments and key milestone decision points required by the organization; identifying and selecting appropriate assessors/assessment teams and considering issues of assessor independence; providing artifacts to assessors/assessment teams; establishing a mechanism between the organization and the assessors and/or assessment teams to minimize ambiguities or misunderstandings about implementation and related weaknesses or deficiencies |
| Preparation activities by assessors/assessment teams | obtaining a general understanding of the organization’s operations, including mission, functions, and business processes; obtaining an understanding of the structure of the system and the security and privacy controls being assessed; identifying the organizational entities responsible for development and implementation of the common controls or common portion of hybrid controls; meeting with appropriate organizational officials to ensure common understanding for assessment objectives and proposed rigor and scope; obtaining artifacts needed for the assessment; establishing appropriate organizational points of contact; obtaining previous assessment results that may be reused |
| Reuse / prior evidence | organizations are encouraged to take advantage of control assessment results and associated assessment documentation, artifacts, and evidence available for system components from previous assessments, including independent third-party testing, evaluation, and validation; previous assessment results may be appropriately reused for the current assessment; examples include Inspector General reports, audits, vulnerability scans, physical security inspections, developmental testing and evaluation, vendor flaw remediation activities, [ISO 15408] evaluations |
| Assessment plan inputs | information about controls to be assessed, including results from assessments of risk; platform-specific dependencies in hardware, software, or firmware; assessment procedures needed as a result of organization-specific controls not included in [SP 800-53] |
| Cadence / frequency | the frequency of assessments and monitoring is determined by the organization, system owner, and/or common control provider and is approved by the authorizing official; security and privacy controls are assessed on an ongoing basis in accordance with ISCM strategy and privacy continuous monitoring strategy |
| End-of-life / disposal | security and privacy assessments are conducted to ensure important organizational information, including personally identifiable information, are purged from the system prior to disposal and organizational retention schedules are adhered to |

### Roles / responsibilities / RACI-like content

| Role / party | Explicit responsibilities / notes |
|---|---|
| Authorizing Official | approves frequency of ongoing assessments and monitoring; makes risk-based decision on whether to place the system into operation or continue its operation |
| Authorizing Official Designated Representative | primary role in Prepare step |
| system owner | primary role in Prepare step; identifies and coordinates with other parties; may determine assessment frequency with common control provider; evaluates control assessment results; inheriting controls is not responsible for common control assessments |
| common control provider | primary role in Prepare step; responsible for common control assessments and assessments of the common part of hybrid controls |
| control assessors | primary role in Prepare step; conduct assessments and obtain evidence |
| system security officer | supporting role in Prepare step |
| system privacy officer | supporting role in Prepare step |
| system security and privacy officers | involved in assessments; listed among parties with oversight responsibilities |
| Inspectors General | individuals with information security and privacy assessment and monitoring responsibilities; may conduct assessments; use previous assessment results such as IG reports |
| auditors | individuals with assessment and monitoring responsibilities; listed among roles responsible for conducting control assessments |
| analysts | individuals with information security and privacy assessment and monitoring responsibilities |
| authorizing officials / chief information officers / senior information security officers / senior agency officials for privacy / chief privacy officers / system managers / information security and privacy managers | individuals with system, security, privacy, risk management, and oversight responsibilities |
| system owners / common control providers / information owners/stewards / mission and business owners / system administrators / system security officers / system privacy officers | individuals with information security and privacy implementation and operational responsibilities |
| mission and business owners | other interested parties in control assessments |
| information owners/stewards | other interested parties in control assessments when role is filled by someone other than the system owner |
| system developers | produce design/development artifacts and may participate in assessments/interviews |
| system integrators | listed among individuals with system development responsibilities |
| information security engineers / privacy engineers | listed among individuals with system development responsibilities |

### Evidence, artifacts, and audit/assessment outputs

| Artifact / evidence / record | Explicit use |
|---|---|
| policies | provided to assessors/assessment teams; examined as assessment objects |
| procedures | provided to assessors/assessment teams; examined as assessment objects |
| plans | provided to assessors/assessment teams; examined as assessment objects; includes system security plans, privacy plans, configuration management plan |
| specifications | provided to assessors/assessment teams; examined as assessment objects; includes system security and privacy requirements, functional specifications |
| designs | provided to assessors/assessment teams; examined as assessment objects; includes architectural designs, system design documentation |
| records | provided to assessors/assessment teams; examined as assessment objects; includes administrator/operator manuals, system documentation, information exchange agreements, previous assessment results, legal requirements |
| administrator/operator manuals | provided to assessors/assessment teams |
| system documentation | provided to assessors/assessment teams |
| information exchange agreements | provided to assessors/assessment teams |
| previous assessment results | provided to assessors/assessment teams; reused for current assessment |
| legal requirements | provided to assessors/assessment teams |
| audit records | potential assessment objects for several controls |
| system monitoring records | potential assessment objects for AC-17(01) |
| system configuration settings and associated documentation | potential assessment objects for several controls |
| change control records | potential assessment objects for CM-04 and CM-02 |
| security impact analysis documentation | potential assessment object for CM-04 |
| privacy impact analysis documentation | potential assessment object for CM-04 |
| privacy impact assessment | potential assessment object for CM-04 |
| privacy risk assessment documentation | potential assessment object for CM-04 |
| system design documentation | potential assessment object for CM-04, CM-02, AC-17, AC-17(01), CA-03, MP-07 |
