URL: https://www.fedramp.gov/resources/documents/Continuous_Monitoring_Playbook.pdf
TITLE: FedRAMP® Continuous Monitoring Playbook
ERROR: None

| Cadence / Timeline | Quoted or closely paraphrased requirement | Likely control family / control ID | Source section |
|---|---|---|---|
| **Daily** | “The FedRAMP PMO oversees daily operations” | N/A (operational statement; no control cited) | Continuous Monitoring Roles & Responsibilities / FedRAMP Program Management Office (PMO) |
| **Monthly** | “Deliverables and supporting evidence are provided monthly, annually, every three years, and on an as-needed basis.” | CA-7, AU, CM, SI, CA, IR, CP, PE, AC, IA as applicable to cited deliverables | Continuous Monitoring Overview / Operational Visibility |
| **Monthly** | “Security control CM-8 requires CSPs to provide an updated inventory at least monthly or when there is a change.” | CM-8 | Monthly ConMon Reporting |
| **Monthly** | “Each month, the CSP uploads an up-to-date POA&M and inventory, along with raw vulnerability scan files (when required by agreements with agency customers) and reports to the secure repository.” | CA-5, CM-8, RA-5 | Monthly ConMon Reporting |
| **Monthly** | “CSPs … provide [AOs] monthly insight into the security posture of the system.” | RA-5, CA-7 | Vulnerability Scanning / opening paragraph |
| **Monthly** | “These scans … provide the designated agency ConMon lead and consuming agencies monthly insights into the risk posture of the CSO.” | RA-5 | Vulnerability Scanning / Background |
| **Monthly** | “Signature Updates: … the CSP must use a vulnerability scanner that checks for automatic signature updates of the scanner’s vulnerability database at least monthly.” | RA-5(2) | Vulnerability Scanning / General Scanning Requirements / Signature Updates |
| **Monthly** | “The CSP must have an automated mechanism to identify and catalog all assets, within the authorization boundary, every month…” | CM-8, RA-5 | Vulnerability Scanning / General Scanning Requirements / Adequate Asset Identification |
| **Monthly** | “Types of Scans: CSPs must scan operating systems, Web applications, and databases monthly.” | RA-5 | Vulnerability Scanning / General Scanning Requirements / Types of Scans |
| **Monthly** | “The entire inventory (or approved sampling percentage) within the boundary must be scanned at the operating system (OS) level at least once a month.” | RA-5 | Vulnerability Scanning / General Scanning Requirements / Types of Scans |
| **Monthly** | “All Web interfaces and services (or approved sampling percentage) must be scanned.” | RA-5 | Vulnerability Scanning / General Scanning Requirements / Types of Scans |
| **Monthly** | “All databases (or approved sampling percentage) must be scanned…” | RA-5 | Vulnerability Scanning / General Scanning Requirements / Types of Scans |
| **Monthly** | “The 30-day scanning window begins as soon as the container is deployed to the production registry.” | RA-5 | Vulnerability Scanning / Container Unique Requirements / Vulnerability Scanning for Container Images |
| **Monthly** | “Only containers from images that have been scanned within a 30-day vulnerability scanning window can be actively deployed on the production environment.” | RA-5 | Vulnerability Scanning / Container Unique Requirements / Vulnerability Scanning for Container Images |
| **Monthly** | “The container registry MUST be monitored per unique image to ensure that containers corresponding to an image that has not been scanned within the 30-day vulnerability scanning window are not actively deployed on production.” | RA-5 | Vulnerability Scanning / Container Unique Requirements / Registry Monitoring |
| **Monthly** | “Ensure at each selection interval (each month when scans are run), that the assets are selected randomly from the total inventory.” | RA-5 | Vulnerability Scanning / Sampling for Vulnerability Scanning / Develop Vulnerability Sampling Plan |
| **Monthly** | “The PMO recommends holding a monthly, one-hour recurring Collaborative ConMon meeting.” | CA-7 | Collaborative ConMon / Section 2: Meeting Schedule |
| **Monthly** | “The PMO recommends uploading the monthly ConMon deliverables … on the same day each month and then hold the recurring meeting a week later.” | CA-7, CA-5, CM-8, RA-5 | Collaborative ConMon / Section 4: ConMon Deliverables |
