URL: https://media.defense.gov/2022/Nov/14/2003113709/-1/-1/0/CONTINUOUS%20MONITORING%20ANNEX%20V1.0%20800-53%20CONTROL%20MAPPINGS.PDF
TITLE: [PDF] Continuous Monitoring Requirements Annex v1.0 Requirements ...
ERROR: None

| Requested item | Exact cadence / timeline stated in the provided page | Closely quoted source text | Control family / control ID mappings explicitly shown on the page |
|---|---|---|---|
| STIG update/release cycles | No exact cadence stated | No STIG update/release cycle frequency, release interval, or publication schedule is stated on the provided page. | Not stated on this page. |
| SRG/STIG Library compilations frequency | No exact cadence stated | No compilation frequency for SRG/STIG Library is stated on the provided page. | Not stated on this page. |
| IAVA/IAVM remediation timelines | No exact cadence stated | No IAVA/IAVM remediation timeline is stated on the provided page. | Not stated on this page. |
| Continuous monitoring cadence | No exact cadence stated | The page is titled “Continuous Monitoring Requirements Annex v1.0” and maps requirements to controls, but it does not state a monitoring cadence such as daily, weekly, monthly, quarterly, or continuous intervals. | The page maps multiple annex requirements to control families/IDs, including CM, SI, CA, AU, MA. |
| JSIG/RMF ongoing monitoring | No exact cadence stated | The page says the appendix is for customers who must demonstrate implementation “as part of their Risk Management Framework (RMF) … process,” but it does not state an ongoing monitoring schedule. | RMF is mentioned in the introductory text; mappings include CA, AU, CM, SI. |
| Annual reporting | No exact cadence stated | No annual reporting cadence is stated on the provided page. | Not stated on this page. |
| Control assessment schedules | No exact cadence stated | No assessment schedule, frequency, or timetable is stated on the provided page. | Not stated on this page. |

## Extracted page text relevant to cadence/timeline requests

- “Most of the requirements in the Key Management Requirements Annex support the implementation of the security controls specified in the National Institute of Standards and Technology (NIST) Special Publication 800-53 Revision 5 (NIST SP 800-53).”
- “This appendix is provided for customers who must demonstrate implementation of a set of NIST SP 800-53 security controls as part of their Risk Management Framework (RMF) (formerly known as Certification and Accreditation (C&A)) process for a system incorporating a MSC solution that complies with this CP.”
- “Note that the presence of a mapping between a CP requirement and a NIST SP 800-53 security control does not necessarily indicate that the CP requirement by itself is sufficient to satisfy the security control. Instead, a mapping indicates that the CP requirement provides some degree of support to the application of the security control. Additional work outside the scope of this CP may be required to effectively implement the security control on the target system.”

## Control family / control ID mappings explicitly shown on the page

### CM-MP
| Annex Requirement | NIST SP 800-53 Revision 5 Security Controls |
|---|---|
| CM-MP-1 | SI-4, CA-7 |
| CM-MP-2 | SI-4, CA-7 |
| CM-MP-3 | SI-4, CA-7 |
| CM-MP-4 | SI-4, CA-7 |
| CM-MP-5 | SI-4, CA-7 |
| CM-MP-6 | SI-4 (14) |
| CM-MP1-1 | AU-2, AU-4, AU-12, SI-4 (4) |
| CM-MP1-2 | AU-2, AU-4, AU-12, SI-4 (4) |
| CM-MP1-3 | AU-2, AU-4, AU-12, SI-4 (22) |
| CM-MP1-4 | AU-2, AU-4, AU-12, SI-4 (22) |
| CM-MP1-5 | AU-2, AU-12, CM-3f, CM-3 (1e) |
| CM-MP1-6 | AU-2, AU-12, SI-4 (22) |
| CM-MP1-7 | AC-6 (9), AU-2, AU-12, SI-4 (20) |
| CM-MP1-8 | AC-6 (9), AU-2, AU-12, SI-4 (20) |
| CM-MP1-9 | AU-2, AU-12 |
| CM-MP1-10 | AU-2, AU-12, SI-4 (11) |
| CM-MP1-11 | AU-2, AU-12, SI-4 (11) |
| CM-MP2-1 | AU-2, AU-4, AU-12, SI-4 (4) |
| CM-MP2-2 | AU-2, AU-4, AU-12, SI-4 (4) |
| CM-MP2-3 | AU-2, AU-4, AU-12, SI-4 (22) |
| CM-MP2-4 | AU-2, AU-4, AU-12, SI-4 (4) |
| CM-MP2-5 | AU-2, AU-12, SC-21 |
| CM-MP2-6 | AU-2, AU-12, SI-4 (22) |
| CM-MP2-7 | AC-6 (9), AU-2, AU-12, SI-4 (20) |
| CM-MP3-1 | AU-2, AU-4, AU-12, SI-4 (4) |
| CM-MP3-2 | AU-2, AU-4, AU-12, SI-4 (4) |
| CM-MP3-3 | AU-2, AU-4, AU-12, SI-4 (22) |
| CM-MP3-4 | AU-2, AU-4, AU-12, SI-4 (4) |
| CM-MP3-5 | AU-2, AU-12, CM-3 (6) |
| CM-MP3-6 | AU-2, AU-12, SI-4 (22) |
| CM-MP3-7 | AC-6 (9), AU-2, AU-12, SI-4 (20) |
| CM-MP4-1 | AU-2, AU-12, SI-4 (4) |
| CM-MP4-2 | AU-2, AU-4, AU-12, SI-4 (4) |
| CM-MP4-3 | AU-2, AU-12, SI-4 (11) |
| CM-MP4-4 | AU-2, AU-12, SI-4 (11) |
